"","Mean","Median","Mode","ESS","HDImass","HDIlow","HDIhigh","CompVal","PcntGtCompVal","ROPElow","ROPEhigh","PcntLtROPE","PcntInROPE","PcntGtROPE"
"b[20] Associated Industries of Florida",1.40355552364703,1.41576,1.43852962828905,11001,0.95,-3.76434,6.82693,NA,NA,NA,NA,NA,NA,NA
"b[21] Baldwin Wallace University",3.57130329995728,3.55164,3.54956462216002,10821.6,0.95,-1.80779,8.73595,NA,NA,NA,NA,NA,NA,NA
"b[22] Bannon Communications",4.45577170569039,4.43444,4.45223038380654,11522,0.95,-0.627484,10.1043,NA,NA,NA,NA,NA,NA,NA
"b[23] Baselice & Associates",4.37422389357567,4.37611,4.80099942195196,11214,0.95,-0.900707,9.82415,NA,NA,NA,NA,NA,NA,NA
"b[24] Basswood Research",-3.89076495618935,-3.81477,-3.47943151948115,10763.6,0.95,-10.0935,2.09111,NA,NA,NA,NA,NA,NA,NA
"b[25] Baydoun Consulting",-5.62729533750295,-5.64812,-5.71373862928132,11307.1,0.95,-10.1933,-1.20329,NA,NA,NA,NA,NA,NA,NA
"b[26] Becker Institute",3.56656131520562,3.52866,3.37529227611304,11001,0.95,-1.00929,8.51553,NA,NA,NA,NA,NA,NA,NA
"b[27] Behavior Research Center (Rocky Mountain Poll)",0.455077260466958,0.452433,0.490549870638336,11001,0.95,-3.30662,4.24493,NA,NA,NA,NA,NA,NA,NA
"b[28] Belden Russonello",1.38346384279611,1.37912,1.44073591406506,11001,0.95,-3.72545,6.78617,NA,NA,NA,NA,NA,NA,NA
"b[29] Bendixen & Amandi International",0.566127806266885,0.599092,0.526929656169756,11001,0.95,-4.82726,5.91845,NA,NA,NA,NA,NA,NA,NA
"b[30] Benenson Strategy Group",2.74964558488683,2.76066,2.95795994914234,11001,0.95,-0.565612,6.14071,NA,NA,NA,NA,NA,NA,NA
"b[31] Big Data Poll",-2.07716329052722,-2.03981,-1.8114182472549,11001,0.95,-6.56244,2.41721,NA,NA,NA,NA,NA,NA,NA
"b[32] Big Ten",3.15960565802582,3.15453,3.19430575036114,11001,0.95,-0.0328469,6.42832,NA,NA,NA,NA,NA,NA,NA
"b[33] BIGresearch",-0.63114971059261,-0.657018,-0.849647940951943,11001,0.95,-6.4927,5.51807,NA,NA,NA,NA,NA,NA,NA
"b[34] BK Strategies",1.82599168975393,1.84512,1.95603775963613,11001,0.95,-3.27758,6.41522,NA,NA,NA,NA,NA,NA,NA
"b[35] Blum & Weprin Associates",-3.19892292780202,-3.18016,-3.0698363692248,11001,0.95,-5.83958,-0.714669,NA,NA,NA,NA,NA,NA,NA
"b[36] Blumenthal Research Daily",-0.927372676144532,-0.923345,-0.66519357486461,10276.8,0.95,-6.47543,3.95257,NA,NA,NA,NA,NA,NA,NA
"b[37] Braun Research",4.43224135536106,4.44279,4.81336146174753,11001,0.95,0.437624,8.27883,NA,NA,NA,NA,NA,NA,NA
"b[38] Brigham Young University",10.0013503208799,10.0039,10.1651796537097,11001,0.95,5.49866,14.5304,NA,NA,NA,NA,NA,NA,NA
"b[39] Brown University",-1.81927836636953,-1.81207,-1.86474947951742,11001,0.95,-5.40374,1.86636,NA,NA,NA,NA,NA,NA,NA
"b[40] BWD Global",-1.376501631974,-1.36491,-1.63153114653862,10649.6,0.95,-7.6982,4.62703,NA,NA,NA,NA,NA,NA,NA
"b[41] California State University, Bakersfield",-2.96512549983911,-2.99716,-3.31906903497663,11244.8,0.95,-9.21028,2.92343,NA,NA,NA,NA,NA,NA,NA
"b[42] CallFire",-2.59362790672193,-2.58661,-2.63826065000601,11001,0.95,-7.09685,1.8458,NA,NA,NA,NA,NA,NA,NA
"b[43] Capital Survey Research Center",0.11561831757013,0.113653,0.0801193457167457,10815.6,0.95,-4.30634,4.60905,NA,NA,NA,NA,NA,NA,NA
"b[44] Carroll Strategies",-6.82191561321698,-6.8413,-7.27455522524869,11601.1,0.95,-11.0057,-2.77818,NA,NA,NA,NA,NA,NA,NA
"b[45] CBS News/The New York Times",0.413928517164621,0.398831,0.312579375536966,10872.7,0.95,-1.1854,1.94685,NA,NA,NA,NA,NA,NA,NA
"b[46] ccAdvertising",-5.60183917462049,-5.61047,-5.71964767395389,11001,0.95,-7.69618,-3.68507,NA,NA,NA,NA,NA,NA,NA
"b[47] Central Surveys Inc.",0.402445330675093,0.380442,0.00521684294604619,11001,0.95,-5.5351,6.62708,NA,NA,NA,NA,NA,NA,NA
"b[48] Centre College",0.989897989501103,0.961162,0.966587393765506,11001,0.95,-5.1488,7.05243,NA,NA,NA,NA,NA,NA,NA
"b[49] Change Research",1.194385081076,1.1996,1.23143032794562,10486.7,0.95,-0.328706,2.65888,NA,NA,NA,NA,NA,NA,NA
"b[50] Cherry Communications",-2.24749412048514,-2.26664,-2.49337344430804,11345.3,0.95,-6.67226,2.20988,NA,NA,NA,NA,NA,NA,NA
"b[51] Christopher Newport University",1.87043647871521,1.85839,1.78951102359085,11001,0.95,-1.42527,5.25635,NA,NA,NA,NA,NA,NA,NA
"b[52] Ciruli Associates",-2.09164896578975,-2.08803,-1.96132226506723,11001,0.95,-4.93888,0.409919,NA,NA,NA,NA,NA,NA,NA
"b[53] CJ&N",0.887539995811563,0.866984,0.713887666319064,11001,0.95,-5.09897,7.08435,NA,NA,NA,NA,NA,NA,NA
"b[54] Clarity Campaign Labs",2.62210281392555,2.62348,2.75757039209495,11001,0.95,-0.356123,5.51475,NA,NA,NA,NA,NA,NA,NA
"b[55] Clarus Research Group",2.04925549216162,2.04487,2.59640098208347,11001,0.95,-2.591,7.04566,NA,NA,NA,NA,NA,NA,NA
"b[56] Clemson University",-4.93978702951468,-4.9136,-4.65951608416733,11001,0.95,-11.2533,0.977497,NA,NA,NA,NA,NA,NA,NA
"b[57] Clout Research/Wenzel Strategies",-4.98788423759658,-4.98875,-4.8265982265304,11001,0.95,-7.68144,-2.25763,NA,NA,NA,NA,NA,NA,NA
"b[58] CNN/Opinion Research Corp.",-0.277142343727425,-0.275873,-0.249863148280023,11001,0.95,-1.57038,1.11004,NA,NA,NA,NA,NA,NA,NA
"b[59] co/efficient",0.929972182917098,0.912198,0.74644506627418,11001,0.95,-4.87519,7.13469,NA,NA,NA,NA,NA,NA,NA
"b[60] Cole Hargrave Snodgrass & Associates",1.68549859772793,1.69142,2.04549854607742,9163.7,0.95,-3.15553,6.47278,NA,NA,NA,NA,NA,NA,NA
"b[61] Columbus Dispatch",2.31122992650432,2.31825,2.32395352008837,11001,0.95,-0.204551,4.94873,NA,NA,NA,NA,NA,NA,NA
"b[62] Constituent Dynamics",-0.637131721263976,-0.656415,-0.681874397490517,11001,0.95,-6.58008,5.52678,NA,NA,NA,NA,NA,NA,NA
"b[63] Consumer Logic",3.18914684155022,3.17291,2.84700485167022,11335.7,0.95,-1.25085,7.51794,NA,NA,NA,NA,NA,NA,NA
"b[64] Cooper & Secrest",-0.873302799595946,-0.88121,-0.856149961261073,11001,0.95,-7.03688,5.08088,NA,NA,NA,NA,NA,NA,NA
"b[65] Craciun Research Group",5.29563906858804,5.24137,4.88989276415309,11001,0.95,-1.0872,11.2766,NA,NA,NA,NA,NA,NA,NA
"b[66] Crantford Research",0.642261748749477,0.627106,0.587795627270966,11001,0.95,-5.22275,7.02778,NA,NA,NA,NA,NA,NA,NA
"b[67] Critical Insights",-0.470535247146259,-0.469934,-0.471453303533043,11001,0.95,-3.10264,1.99094,NA,NA,NA,NA,NA,NA,NA
"b[68] Cromer Group",-1.22965909759758,-1.16533,-0.825175822323253,11001,0.95,-7.41357,4.82284,NA,NA,NA,NA,NA,NA,NA
"b[69] CrossTarget",-3.60669991666576,-3.60082,-3.64009541045485,11001,0.95,-9.22415,1.59385,NA,NA,NA,NA,NA,NA,NA
"b[70] CSP Polling",0.663091304232636,0.661522,0.971276105413608,11001,0.95,-5.15517,6.89516,NA,NA,NA,NA,NA,NA,NA
"b[71] CVOTER",-1.13453044638643,-1.13395,-1.18472850173366,11001,0.95,-4.74568,2.88257,NA,NA,NA,NA,NA,NA,NA
"b[72] Cygnal",1.91777729428643,1.91458,1.87345217688641,11001,0.95,-0.929725,4.75815,NA,NA,NA,NA,NA,NA,NA
"b[73] Dan Jones & Associates",1.61354032494764,1.62224,1.70015945729007,11001,0.95,-0.339043,3.6488,NA,NA,NA,NA,NA,NA,NA
"b[74] Dane & Associates",-9.66191522687028,-9.66847,-10.2024074877869,10602,0.95,-15.3312,-4.19904,NA,NA,NA,NA,NA,NA,NA
"b[75] Data for Progress",-0.0418638004972275,-0.0471507,0.0110965477448151,11387,0.95,-5.4805,5.23942,NA,NA,NA,NA,NA,NA,NA
"b[76] Data Orbital",0.684512321904009,0.695206,0.637663279899606,11001,0.95,-2.64774,3.99226,NA,NA,NA,NA,NA,NA,NA
"b[77] Data West Polling",5.77109156782838,5.75674,5.88697696408172,10614,0.95,0.37674,11.376,NA,NA,NA,NA,NA,NA,NA
"b[78] Datamar",-2.06537742353422,-2.04961,-1.87119760210193,11001,0.95,-6.08289,2.11681,NA,NA,NA,NA,NA,NA,NA
"b[79] DCCC Targeting and Analytics Department",1.17096533544196,1.16438,0.778232796755788,11001,0.95,-4.95195,7.20757,NA,NA,NA,NA,NA,NA,NA
"b[80] Decision Forecasting",-0.962441914643851,-0.953665,-0.907546243786982,10155.1,0.95,-5.71274,3.90289,NA,NA,NA,NA,NA,NA,NA
"b[81] DFM Research",4.09215717110317,4.08251,4.19737132842804,11318.3,0.95,0.929154,7.38197,NA,NA,NA,NA,NA,NA,NA
"b[82] DHM Research",-0.525961872465985,-0.527237,-0.584856340160938,11001,0.95,-3.39516,2.44347,NA,NA,NA,NA,NA,NA,NA
"b[83] Diamond State Consulting Group",1.16635186171275,1.11934,0.901477811432065,11001,0.95,-4.83151,7.23123,NA,NA,NA,NA,NA,NA,NA
"b[84] Dittman Research",2.84794263205981,2.85928,2.89997707403883,11126.2,0.95,-1.30474,6.99566,NA,NA,NA,NA,NA,NA,NA
"b[85] Diversified Research Inc",-1.55402461361575,-1.5557,-1.88788664942528,11001,0.95,-7.69229,4.24859,NA,NA,NA,NA,NA,NA,NA
"b[86] Dixie Strategies",-3.68111181599618,-3.68589,-3.71166287219557,10193,0.95,-7.16186,-0.287753,NA,NA,NA,NA,NA,NA,NA
"b[87] Dynamic Marketing Inc.",0.783326967230343,0.768918,0.924939705418037,9967.9,0.95,-4.90441,7.18101,NA,NA,NA,NA,NA,NA,NA
"b[88] East Tennessee State University",4.29751463143442,4.2716,3.81448966701324,10285,0.95,-1.01121,9.74172,NA,NA,NA,NA,NA,NA,NA
"b[89] Ed Renwick/Loyola University New Orleans",3.66906132785029,3.67644,3.64236714009787,11001,0.95,0.109741,7.40763,NA,NA,NA,NA,NA,NA,NA
"b[90] Edgewater Research/My People Vote",-0.467122753474048,-0.474303,-0.451827820648189,11001,0.95,-5.77205,4.79428,NA,NA,NA,NA,NA,NA,NA
"b[91] Elon University",1.35348755925434,1.3481,1.28686818275304,11001,0.95,-2.33467,4.69113,NA,NA,NA,NA,NA,NA,NA
"b[92] Elway Research",1.58424488443252,1.58736,1.54729057332348,10933.5,0.95,-0.787771,3.98636,NA,NA,NA,NA,NA,NA,NA
"b[93] Emerson College",0.0506087220101809,0.0494649,0.0395175747527272,9989.4,0.95,-0.956744,1.15043,NA,NA,NA,NA,NA,NA,NA
"b[94] EPIC-MRA",-0.647060628444087,-0.643903,-0.61051432068185,11001,0.95,-2.39402,1.04391,NA,NA,NA,NA,NA,NA,NA
"b[95] Ethridge & Associates LLC",-0.733729794080538,-0.73967,-0.981784703446607,11001,0.95,-4.55923,3.25184,NA,NA,NA,NA,NA,NA,NA
"b[96] Fabrizio, Lee & Associates",0.983668387811563,0.968221,0.687015214988618,11001,0.95,-3.91479,5.75296,NA,NA,NA,NA,NA,NA,NA
"b[97] Fairleigh Dickinson University (PublicMind)",-0.216429983947278,-0.227298,-0.345832329451849,11001,0.95,-2.68527,2.2443,NA,NA,NA,NA,NA,NA,NA
"b[98] Feldman Group",1.71270463336369,1.70877,1.75801206592497,9538,0.95,-3.85149,6.78845,NA,NA,NA,NA,NA,NA,NA
"b[99] Field Research Corp. (Field Poll)",-2.43443476522407,-2.44002,-2.47840786804627,11001,0.95,-4.88073,0.0993112,NA,NA,NA,NA,NA,NA,NA
"b[100] Financial Dynamics",-1.76887931903781,-1.78358,-1.96025945321738,11352.7,0.95,-4.36285,1.01602,NA,NA,NA,NA,NA,NA,NA
"b[101] Fleming & Associates",-1.49324378800542,-1.50564,-1.63875573351761,11364.7,0.95,-4.19926,1.13257,NA,NA,NA,NA,NA,NA,NA
"b[102] Florida Atlantic University",1.57903595274848,1.55968,1.49055304274586,10696.9,0.95,-2.94875,5.79033,NA,NA,NA,NA,NA,NA,NA
"b[103] Florida Chamber of Commerce",0.183458518683302,0.214479,0.370555729068386,11001,0.95,-5.7821,6.13211,NA,NA,NA,NA,NA,NA,NA
"b[104] Florida International University/Univision",0.467991365920553,0.421889,-0.262150206235146,11001,0.95,-5.44989,6.47177,NA,NA,NA,NA,NA,NA,NA
"b[105] Florida Poll",1.85598514849205,1.83645,1.67671546489404,11001,0.95,-2.39429,5.91073,NA,NA,NA,NA,NA,NA,NA
"b[106] FM3 Research",3.87314996579584,3.86179,3.95874518501089,11001,0.95,0.186508,7.62694,NA,NA,NA,NA,NA,NA,NA
"b[107] Forman Center",4.81120530481593,4.78494,4.92744519220373,11001,0.95,-0.451734,10.443,NA,NA,NA,NA,NA,NA,NA
"b[108] Fort Hays State University",-8.58399926741205,-8.55342,-8.57816700812699,11001,0.95,-14.0555,-3.26054,NA,NA,NA,NA,NA,NA,NA
"b[109] Forward Strategies",0.443595690059904,0.421934,0.440177206236791,11277.3,0.95,-4.9029,5.70498,NA,NA,NA,NA,NA,NA,NA
"b[110] Fox News/Beacon Research/Shaw & Co. Research",2.13065174293246,2.12524,2.11416650970568,11001,0.95,0.0155614,4.32079,NA,NA,NA,NA,NA,NA,NA
"b[111] Fox News/Opinion Dynamics Corp.",-1.1307917593217,-1.12892,-1.08292241225521,11001,0.95,-3.19592,0.894648,NA,NA,NA,NA,NA,NA,NA
"b[112] Frank N. Magid Associates Inc.",2.71542650159895,2.71422,2.2782372056807,11001,0.95,-1.64373,7.12328,NA,NA,NA,NA,NA,NA,NA
"b[113] Franklin & Marshall College",0.644125710893464,0.659554,0.745968266130393,11001,0.95,-1.8751,3.11613,NA,NA,NA,NA,NA,NA,NA
"b[114] Franklin Pierce University",3.44052233098255,3.45618,3.57203108394274,11001,0.95,0.393163,6.34247,NA,NA,NA,NA,NA,NA,NA
"b[115] Frederick Polls",-0.268381104369785,-0.238514,-0.161593678877242,11001,0.95,-6.3276,5.70067,NA,NA,NA,NA,NA,NA,NA
"b[116] Gallup",-1.02926313336615,-1.02813,-1.07567305409584,11001,0.95,-2.37623,0.355673,NA,NA,NA,NA,NA,NA,NA
"b[117] GaPundit.com",3.54154719523989,3.57785,4.15744791520571,11001,0.95,-1.70537,9.16238,NA,NA,NA,NA,NA,NA,NA
"b[118] Garin-Hart-Yang Research Group",2.65714365686101,2.65431,2.53990878782652,11001,0.95,0.498846,4.87261,NA,NA,NA,NA,NA,NA,NA
"b[119] GBAO",-0.224488845156168,-0.211464,-0.243552961231629,11001,0.95,-4.11249,3.67733,NA,NA,NA,NA,NA,NA,NA
"b[120] Georgetown University (Battleground)",-1.56228672534558,-1.55783,-1.56673592446109,11001,0.95,-3.38908,0.277865,NA,NA,NA,NA,NA,NA,NA
"b[121] GfK Group",0.293814307733688,0.285231,0.291461481908977,11001,0.95,-2.11816,2.51791,NA,NA,NA,NA,NA,NA,NA
"b[122] Glascock Group",1.35308708977457,1.3585,1.35103113910544,11095.7,0.95,-3.81559,6.82739,NA,NA,NA,NA,NA,NA,NA
"b[123] Glengariff Group",0.749354389662685,0.749884,0.433880200147652,11001,0.95,-2.7057,4.3236,NA,NA,NA,NA,NA,NA,NA
"b[124] Global Strategy Group",4.00419636083992,4.01287,4.02453454714361,11001,0.95,1.7451,6.32383,NA,NA,NA,NA,NA,NA,NA
"b[125] Global Strategy Group/National Research (Philadelphia Inquirer)",-1.83820276636052,-1.84957,-1.55712811107484,11001,0.95,-6.118,2.77992,NA,NA,NA,NA,NA,NA,NA
"b[126] Glover Park Group",-3.39729779025661,-3.35345,-3.23041816283867,11001,0.95,-9.68789,2.59131,NA,NA,NA,NA,NA,NA,NA
"b[127] Gonzales Research & Marketing Strategies Inc.",-1.86686550493365,-1.87404,-2.02034984929294,11001,0.95,-5.45501,1.51488,NA,NA,NA,NA,NA,NA,NA
"b[128] Google Surveys",-0.477157560553495,-0.483246,-0.512149640535219,11001,0.95,-2.61247,1.75322,NA,NA,NA,NA,NA,NA,NA
"b[129] Gordon S. Black Corp.",-3.02576941773448,-2.97931,-2.71739551472701,11001,0.95,-8.5116,2.17877,NA,NA,NA,NA,NA,NA,NA
"b[130] Gotham Research Group",-1.80523434685329,-1.80753,-1.93757697061805,11075.2,0.95,-7.77957,4.41685,NA,NA,NA,NA,NA,NA,NA
"b[131] GQR Research (GQRR)",3.15831206211254,3.14921,3.02777767159475,11001,0.95,1.63458,4.62454,NA,NA,NA,NA,NA,NA,NA
"b[132] Gravis Marketing",0.714371751602282,0.713172,0.775757521497524,10829.2,0.95,-0.445332,1.80777,NA,NA,NA,NA,NA,NA,NA
"b[133] Great Lakes Strategies Group",-2.29584983044305,-2.2555,-2.16384285013872,11001,0.95,-8.2959,3.79927,NA,NA,NA,NA,NA,NA,NA
"b[134] Greenberg Quinlan Rosner/American Viewpoint",-3.23327130708736,-3.24229,-3.30170324642176,11001,0.95,-6.82886,0.769897,NA,NA,NA,NA,NA,NA,NA
"b[135] Greg Smith and Associates",5.48668219617398,5.48596,5.34565021850075,10699.1,0.95,1.48156,9.82103,NA,NA,NA,NA,NA,NA,NA
"b[136] Grove Insight",0.700179583689119,0.697315,0.592247685019915,11001,0.95,-1.33975,2.73955,NA,NA,NA,NA,NA,NA,NA
"b[137] Hamilton Campaigns",4.13728625421144,4.13625,4.15763028182912,11001,0.95,0.897986,7.51546,NA,NA,NA,NA,NA,NA,NA
"b[138] Hampton University",-3.76186723623943,-3.78603,-4.32178355273715,11471,0.95,-8.31209,0.594895,NA,NA,NA,NA,NA,NA,NA
"b[139] Harper Polling",0.136287648207072,0.118188,0.059514136868362,11001,0.95,-3.40303,3.52325,NA,NA,NA,NA,NA,NA,NA
"b[140] Harper Polling/Clarity Campaign Labs",1.96138349201182,1.96644,2.04608044047039,11305.6,0.95,-3.96417,8.11836,NA,NA,NA,NA,NA,NA,NA
"b[141] Harris Insights & Analytics",-1.81328653983729,-1.81892,-1.77581998153069,10508.7,0.95,-2.64112,-0.874428,NA,NA,NA,NA,NA,NA,NA
"b[142] Harstad Strategic Research Inc.",1.85311130886318,1.82789,1.71854794855876,11001,0.95,-1.23032,5.14632,NA,NA,NA,NA,NA,NA,NA
"b[143] Harvard University",1.90731811213281,1.90098,1.7006371211868,10281.6,0.95,-4.2729,7.72872,NA,NA,NA,NA,NA,NA,NA
"b[144] Hays Research Group",6.38087279490864,6.40487,6.67455940355443,11001,0.95,1.55269,11.1069,NA,NA,NA,NA,NA,NA,NA
"b[145] Hellenthal & Associates",2.22325449591843,2.20528,2.15601000853734,11001,0.95,-2.56795,6.98196,NA,NA,NA,NA,NA,NA,NA
"b[146] Hendrix College",3.68862488342969,3.69967,3.8873244088052,10528,0.95,0.697686,6.48508,NA,NA,NA,NA,NA,NA,NA
"b[147] Hickman Analytics",2.51136866864528,2.50814,2.95721171107304,11001,0.95,-3.51186,8.58656,NA,NA,NA,NA,NA,NA,NA
"b[148] High Point University",-0.11604799624216,-0.100256,0.0828372384613445,11001,0.95,-5.34297,5.4396,NA,NA,NA,NA,NA,NA,NA
"b[149] HighGround Inc.",-2.13604038984547,-2.15595,-2.37026327160756,11140.3,0.95,-7.22864,3.37311,NA,NA,NA,NA,NA,NA,NA
"b[150] Hill Research Consultants",-2.64586454930697,-2.6581,-2.79370075063868,11001,0.95,-6.59996,1.53745,NA,NA,NA,NA,NA,NA,NA
"b[151] Hoffman Research Group",-2.55008994482683,-2.5165,-2.32967366244099,11001,0.95,-7.81012,2.84331,NA,NA,NA,NA,NA,NA,NA
"b[152] Howey Politics/DePauw University",0.188248302737206,0.186687,0.338307083771162,11001,0.95,-3.7077,4.03932,NA,NA,NA,NA,NA,NA,NA
"b[153] Humphrey Institute",2.64132309641051,2.64448,2.73044530222094,11001,0.95,-0.845319,6.15154,NA,NA,NA,NA,NA,NA,NA
"b[154] IBD/TIPP",-2.04432105927359,-2.0546,-2.24068232776887,11001,0.95,-4.17055,-0.0268748,NA,NA,NA,NA,NA,NA,NA
"b[155] Illinois Wesleyan University",-4.69170716519226,-4.67913,-4.59965858763702,11001,0.95,-9.54776,0.0938152,NA,NA,NA,NA,NA,NA,NA
"b[156] IMGE Insights",-3.03924843459156,-2.99974,-2.82902740114797,11001,0.95,-8.26154,2.27062,NA,NA,NA,NA,NA,NA,NA
"b[157] Independent Market Research",2.22955481234033,2.23384,1.88306759177785,11001,0.95,-3.11291,7.58616,NA,NA,NA,NA,NA,NA,NA
"b[158] Indiana University",0.269939318951913,0.2514,0.179732575708028,11001,0.95,-5.35728,5.42004,NA,NA,NA,NA,NA,NA,NA
"b[159] Insights West",-0.58967487846953,-0.596152,-0.686604094117254,11001,0.95,-3.9574,2.94526,NA,NA,NA,NA,NA,NA,NA
"b[160] Iona College",1.22467264908741,1.21209,1.42223659397813,10933.2,0.95,-4.85338,7.19426,NA,NA,NA,NA,NA,NA,NA
"b[161] Ipsos",0.203503809104827,0.203381,0.186320051061326,11001,0.95,-1.27208,1.63354,NA,NA,NA,NA,NA,NA,NA
"b[162] Jayhawk Consulting",16.7706367384783,16.7007,16.5176067721451,11001,0.95,10.9574,22.446,NA,NA,NA,NA,NA,NA,NA
"b[163] Jeffrey Stonecash",-2.5513423031988,-2.53682,-2.58949996014845,11001,0.95,-8.78705,3.24326,NA,NA,NA,NA,NA,NA,NA
"b[164] Jim Meader (KELOLAND-TV)",2.63113651016162,2.64904,2.82257017827916,11001,0.95,-1.88845,7.01714,NA,NA,NA,NA,NA,NA,NA
"b[165] JMC Analytics",-2.66894115477248,-2.66943,-2.8033313109056,11001,0.95,-5.73606,0.354259,NA,NA,NA,NA,NA,NA,NA
"b[166] JMC Analytics/Bold Blue Campaigns",-3.93058938221525,-3.91659,-3.84971161845494,11001,0.95,-8.03206,0.22037,NA,NA,NA,NA,NA,NA,NA
"b[167] Keating Research",0.412272397617444,0.40464,0.411114558992768,11280,0.95,-3.76331,4.50446,NA,NA,NA,NA,NA,NA,NA
"b[168] Keating Research/OnSight Public Affairs/Melanson",-0.878569520244978,-0.87251,-0.903018729824586,11079.2,0.95,-6.86203,5.07987,NA,NA,NA,NA,NA,NA,NA
"b[169] KG Polling",0.85355695393546,0.855347,0.845233211374625,11001,0.95,-4.53029,6.20911,NA,NA,NA,NA,NA,NA,NA
"b[170] Kiley & Company",2.8741466989865,2.88803,3.29695515890855,11717,0.95,-1.95595,7.71985,NA,NA,NA,NA,NA,NA,NA
"b[171] Kimball Political Consulting",-5.22221213101354,-5.20294,-5.29828055600693,10293.2,0.95,-9.79325,-0.857378,NA,NA,NA,NA,NA,NA,NA
"b[172] Knowledge Networks",1.98852697869248,1.98629,2.02280950866295,11676.2,0.95,-2.90594,6.77856,NA,NA,NA,NA,NA,NA,NA
"b[173] KRC/Communications Research",0.316426748918198,0.325502,0.322429329649699,11043.6,0.95,-2.84213,3.33244,NA,NA,NA,NA,NA,NA,NA
"b[174] Lake Research Partners",1.6796799555484,1.67164,1.57277968498699,11001,0.95,-1.50824,4.91857,NA,NA,NA,NA,NA,NA,NA
"b[175] Landmark Communications",2.29563166934006,2.2936,2.10463957726211,11001,0.95,0.391273,4.15037,NA,NA,NA,NA,NA,NA,NA
"b[176] Lauer Johnson Research",3.95160875130352,3.92218,3.79169993338566,11001,0.95,-1.93048,10.3264,NA,NA,NA,NA,NA,NA,NA
"b[177] Lauer Lalley Victoria Inc.",-0.584572970818744,-0.570597,-0.233301801368723,11001,0.95,-6.72854,5.23436,NA,NA,NA,NA,NA,NA,NA
"b[178] Lincoln Institute",-1.95451227019274,-1.94278,-2.31242190799236,11001,0.95,-7.48609,3.26398,NA,NA,NA,NA,NA,NA,NA
"b[179] Loras College",3.42728021098536,3.44481,3.59020400712608,11001,0.95,0.525331,6.16264,NA,NA,NA,NA,NA,NA,NA
