"","state","pollster","number.of.observations","start.date","end.date","other","undecided","mode","population","pollsterFullName","year","democrat","republican","ID","race_id"
"44","AZ","American Research",600,"10/28/08","10/31/08",2.8,1.2,"Live Phone","Registered Voters","American Research","2008",46,50,44,44
"45","CA","SurveyUSA",519,"1/20/08","1/23/08",4.2,1.8,"Live Phone","Registered Voters","SurveyUSA","2008",50,44,45,45
"46","CA","SurveyUSA",512,"2/19/08","2/22/08",3.5,1.5,"Live Phone","Registered Voters","SurveyUSA","2008",61,34,46,46
"47","CA","Rasmussen",500,"3/9/08","3/12/08",10.5,4.5,"Live Phone","Registered Voters","Rasmussen","2008",46,39,47,47
"48","CA","SurveyUSA",489,"3/17/08","3/20/08",4.2,1.8,"Live Phone","Registered Voters","SurveyUSA","2008",54,40,48,48
"49","CA","SurveyUSA",503,"4/14/08","4/17/08",4.9,2.1,"Live Phone","Registered Voters","SurveyUSA","2008",50,43,49,49
"50","CA","SurveyUSA",600,"5/18/08","5/21/08",7,3,"Live Phone","Registered Voters","SurveyUSA","2008",49,41,50,50
"51","CA","Rasmussen",500,"5/19/08","5/22/08",7,3,"Live Phone","Registered Voters","Rasmussen","2008",52,38,51,51
"52","CA","SurveyUSA",503,"6/17/08","6/20/08",4.2,1.8,"Live Phone","Registered Voters","SurveyUSA","2008",53,41,52,52
"53","CA","Rasmussen",500,"6/22/08","6/25/08",8.4,3.6,"Live Phone","Registered Voters","Rasmussen","2008",58,30,53,53
"54","CA","Field",672,"7/11/08","7/14/08",11.2,4.8,"Live Phone","Registered Voters","Field","2008",54,30,54,54
"55","CA","Rasmussen",500,"7/23/08","7/26/08",8.4,3.6,"Live Phone","Registered Voters","Rasmussen","2008",50,38,55,55
"56","CA","Rasmussen",500,"8/19/08","8/22/08",8.4,3.6,"Live Phone","Registered Voters","Rasmussen","2008",51,37,56,56
"57","CA","Field",830,"9/14/08","9/17/08",8.4,3.6,"Live Phone","Registered Voters","Field","2008",52,36,57,57
"58","CA","American Research",600,"9/18/08","9/21/08",5.6,2.4,"Live Phone","Registered Voters","American Research","2008",53,39,58,58
"59","CA","Rasmussen",500,"9/20/08","9/23/08",3.5,1.5,"Live Phone","Registered Voters","Rasmussen","2008",56,39,59,59
"60","CA","SurveyUSA",661,"9/22/08","9/25/08",2.8,1.2,"Live Phone","Registered Voters","SurveyUSA","2008",53,43,60,60
"61","CA","SurveyUSA",670,"10/3/08","10/6/08",4.2,1.8,"Live Phone","Registered Voters","SurveyUSA","2008",55,39,61,61
"62","CA","Rasmussen",500,"10/8/08","10/11/08",2.8,1.2,"Live Phone","Registered Voters","Rasmussen","2008",56,40,62,62
"63","CA","SurveyUSA",615,"10/14/08","10/17/08",4.2,1.8,"Live Phone","Registered Voters","SurveyUSA","2008",59,35,63,63
"64","CA","Public Policy Inst.",1186,"10/20/08","10/23/08",7.7,3.3,"Live Phone","Registered Voters","Public Policy Inst.","2008",56,33,64,64
"65","CA","Rasmussen",500,"10/22/08","10/25/08",3.5,1.5,"Live Phone","Registered Voters","Rasmussen","2008",61,34,65,65
"66","CA","Field Poll",966,"10/27/08","10/30/08",8.4,3.6,"Live Phone","Registered Voters","Field Poll","2008",55,33,66,66
"67","CA","SurveyUSA",637,"10/29/08","11/1/08",2.8,1.2,"Live Phone","Registered Voters","SurveyUSA","2008",60,36,67,67
"68","CO","Rasmussen",500,"2/8/08","2/11/08",10.5,4.5,"Live Phone","Registered Voters","Rasmussen","2008",46,39,68,68
"69","CO","Rasmussen",500,"3/14/08","3/17/08",5.6,2.4,"Live Phone","Registered Voters","Rasmussen","2008",46,46,69,69
"70","CO","Rasmussen",500,"4/13/08","4/16/08",7.7,3.3,"Live Phone","Registered Voters","Rasmussen","2008",46,43,70,70
"71","CO","Rasmussen",500,"5/18/08","5/21/08",7,3,"Live Phone","Registered Voters","Rasmussen","2008",48,42,71,71
"72","CO","Rasmussen",500,"6/16/08","6/19/08",11.2,4.8,"Live Phone","Registered Voters","Rasmussen","2008",43,41,72,72
"73","CO","Quinnipiac/WSJ/Wash. Post",1351,"6/23/08","6/26/08",4.9,2.1,"Live Phone","Registered Voters","Quinnipiac/WSJ/Wash. Post","2008",49,44,73,73
"74","CO","Rasmussen",500,"7/19/08","7/22/08",6.3,2.7,"Live Phone","Registered Voters","Rasmussen","2008",49,42,74,74
"75","CO","Quinnipiac/WSJ/Wash. Post",1425,"7/21/08","7/24/08",7,3,"Live Phone","Registered Voters","Quinnipiac/WSJ/Wash. Post","2008",44,46,75,75
"76","CO","Rasmussen",500,"8/11/08","8/14/08",5.6,2.4,"Live Phone","Registered Voters","Rasmussen","2008",45,47,76,76
"77","CO","Zogby",717,"8/19/08","8/22/08",12.6,5.4,"Live Phone","Registered Voters","Zogby","2008",44,38,77,77
"78","CO","Quinnipiac/WSJ/Wash. Post",1060,"8/21/08","8/24/08",4.9,2.1,"Live Phone","Registered Voters","Quinnipiac/WSJ/Wash. Post","2008",46,47,78,78
"79","CO","Suffolk Univ.",450,"8/22/08","8/25/08",11.9,5.1,"Live Phone","Registered Voters","Suffolk Univ.","2008",44,39,79,79
"80","CO","FOX/Rasmussen",500,"9/5/08","9/8/08",3.5,1.5,"Live Phone","Registered Voters","FOX/Rasmussen","2008",49,46,80,80
"81","CO","Public Policy",1078,"9/8/08","9/11/08",4.9,2.1,"Live Phone","Registered Voters","Public Policy","2008",47,46,81,81
"82","CO","FOX/Rasmussen",500,"9/12/08","9/15/08",4.2,1.8,"Live Phone","Registered Voters","FOX/Rasmussen","2008",46,48,82,82
"83","CO","American Research",600,"9/14/08","9/17/08",7,3,"Live Phone","Registered Voters","American Research","2008",44,46,83,83
"84","CO","Public Policy",1084,"9/20/08","9/23/08",3.5,1.5,"Live Phone","Registered Voters","Public Policy","2008",51,44,84,84
"85","CO","Quinnipiac/WSJ/Wash. Post",1418,"9/20/08","9/23/08",4.2,1.8,"Live Phone","Registered Voters","Quinnipiac/WSJ/Wash. Post","2008",49,45,85,85
"86","CO","CNN/Time",794,"9/21/08","9/24/08",1.4,0.6,"Live Phone","Registered Voters","CNN/Time","2008",51,47,86,86
"87","CO","Rasmussen",700,"9/21/08","9/24/08",2.1,0.9,"Live Phone","Registered Voters","Rasmussen","2008",50,47,87,87
"88","CO","American Research",600,"9/23/08","9/26/08",4.9,2.1,"Live Phone","Registered Voters","American Research","2008",45,48,88,88
"89","CO","FOX/Rasmussen",500,"9/26/08","9/29/08",2.1,0.9,"Live Phone","Registered Voters","FOX/Rasmussen","2008",49,48,89,89
"90","CO","Denver Post",625,"10/2/08","10/5/08",8.4,3.6,"Live Phone","Registered Voters","Denver Post","2008",44,44,90,90
"91","CO","FOX/Rasmussen",1000,"10/2/08","10/5/08",2.8,1.2,"Live Phone","Registered Voters","FOX/Rasmussen","2008",51,45,91,91
"92","CO","Public Policy",1331,"10/8/08","10/11/08",4.2,1.8,"Live Phone","Registered Voters","Public Policy","2008",52,42,92,92
"93","CO","Quinnipiac/WSJ/Wash. Post",1088,"10/11/08","10/14/08",3.5,1.5,"Live Phone","Registered Voters","Quinnipiac/WSJ/Wash. Post","2008",52,43,93,93
"94","CO","Suffolk Univ.",600,"10/11/08","10/14/08",7,3,"Live Phone","Registered Voters","Suffolk Univ.","2008",47,43,94,94
"95","CO","CNN/Time",762,"10/12/08","10/15/08",1.4,0.6,"Live Phone","Registered Voters","CNN/Time","2008",51,47,95,95
"96","CO","Rasmussen",700,"10/14/08","10/17/08",2.1,0.9,"Live Phone","Registered Voters","Rasmussen","2008",52,45,96,96
"97","CO","FOX/Rasmussen",1000,"10/16/08","10/19/08",2.1,0.9,"Live Phone","Registered Voters","FOX/Rasmussen","2008",51,46,97,97
"98","CO","FOX/Rasmussen",1000,"10/23/08","10/26/08",2.8,1.2,"Live Phone","Registered Voters","FOX/Rasmussen","2008",50,46,98,98
"99","CO","AP-GfK Battleground",798,"10/26/08","10/29/08",6.3,2.7,"Live Phone","Registered Voters","AP-GfK Battleground","2008",50,41,99,99
"100","CO","CNN/Time",774,"10/26/08","10/29/08",1.4,0.6,"Live Phone","Registered Voters","CNN/Time","2008",53,45,100,100
"101","CO","Marist",682,"10/27/08","10/30/08",2.8,1.2,"Live Phone","Registered Voters","Marist","2008",51,45,101,101
"102","CO","American Research",600,"10/28/08","10/31/08",2.1,0.9,"Live Phone","Registered Voters","American Research","2008",52,45,102,102
"103","CO","Public Policy",2023,"10/28/08","10/31/08",1.4,0.6,"Live Phone","Registered Voters","Public Policy","2008",54,44,103,103
"104","CO","FOX/Rasmussen",1000,"10/30/08","11/2/08",1.4,0.6,"Live Phone","Registered Voters","FOX/Rasmussen","2008",51,47,104,104
"105","CO","Mason-Dixon",625,"10/30/08","11/2/08",4.9,2.1,"Live Phone","Registered Voters","Mason-Dixon","2008",49,44,105,105
"106","CT","SurveyUSA",600,"3/3/08","3/6/08",7.7,3.3,"Live Phone","Registered Voters","SurveyUSA","2008",55,34,106,106
"107","CT","Rasmussen",500,"3/8/08","3/11/08",8.4,3.6,"Live Phone","Registered Voters","Rasmussen","2008",50,38,107,107
"108","CT","Quinnipiac",1697,"3/24/08","3/27/08",9.1,3.9,"Live Phone","Registered Voters","Quinnipiac","2008",52,35,108,108
"109","CT","Rasmussen",500,"5/30/08","6/2/08",6.3,2.7,"Live Phone","Registered Voters","Rasmussen","2008",47,44,109,109
"110","CT","Quinnipiac",2437,"6/29/08","7/2/08",6.3,2.7,"Live Phone","Registered Voters","Quinnipiac","2008",56,35,110,110
"111","CT","Rasmussen",500,"6/29/08","7/2/08",9.1,3.9,"Live Phone","Registered Voters","Rasmussen","2008",52,35,111,111
"112","CT","Rasmussen",500,"8/1/08","8/4/08",9.1,3.9,"Live Phone","Registered Voters","Rasmussen","2008",51,36,112,112
"113","CT","Rasmussen",500,"9/15/08","9/18/08",4.2,1.8,"Live Phone","Registered Voters","Rasmussen","2008",53,41,113,113
"114","CT","American Research",600,"9/17/08","9/20/08",4.9,2.1,"Live Phone","Registered Voters","American Research","2008",54,39,114,114
"115","CT","SurveyUSA",686,"9/23/08","9/26/08",5.6,2.4,"Live Phone","Registered Voters","SurveyUSA","2008",54,38,115,115
"116","CT","Rasmussen",500,"10/13/08","10/16/08",3.5,1.5,"Live Phone","Registered Voters","Rasmussen","2008",56,39,116,116
"117","CT","Hartford Courant",502,"10/23/08","10/26/08",9.1,3.9,"Live Phone","Registered Voters","Hartford Courant","2008",56,31,117,117
"118","DC","American Research",600,"9/14/08","9/17/08",3.5,1.5,"Live Phone","Registered Voters","American Research","2008",82,13,118,118
"119","DE","SurveyUSA",600,"3/3/08","3/6/08",6.3,2.7,"Live Phone","Registered Voters","SurveyUSA","2008",50,41,119,119
"120","DE","Rasmussen",500,"9/11/08","9/14/08",1.4,0.6,"Live Phone","Registered Voters","Rasmussen","2008",55,43,120,120
"121","DE","American Research",600,"9/14/08","9/17/08",6.3,2.7,"Live Phone","Registered Voters","American Research","2008",51,40,121,121
"122","DE","SurveyUSA",703,"9/21/08","9/24/08",4.2,1.8,"Live Phone","Registered Voters","SurveyUSA","2008",57,37,122,122
"123","DE","Fairleigh-Dickinson",601,"9/22/08","9/25/08",5.6,2.4,"Live Phone","Registered Voters","Fairleigh-Dickinson","2008",56,36,123,123
"124","DE","Rasmussen",500,"10/11/08","10/14/08",2.1,0.9,"Live Phone","Registered Voters","Rasmussen","2008",56,41,124,124
"125","DE","SurveyUSA",657,"10/26/08","10/29/08",2.8,1.2,"Live Phone","Registered Voters","SurveyUSA","2008",63,33,125,125
"126","FL","Quinnipiac",1009,"2/11/08","2/14/08",14,6,"Live Phone","Registered Voters","Quinnipiac","2008",39,41,126,126
"127","FL","Rasmussen",500,"3/9/08","3/12/08",7,3,"Live Phone","Registered Voters","Rasmussen","2008",43,47,127,127
"128","FL","Quinnipiac",1136,"3/30/08","4/2/08",11.9,5.1,"Live Phone","Registered Voters","Quinnipiac","2008",37,46,128,128
"129","FL","Quinnipiac",1411,"4/28/08","5/1/08",9.1,3.9,"Live Phone","Registered Voters","Quinnipiac","2008",43,44,129,129
"130","FL","Quinnipiac",1419,"5/19/08","5/22/08",9.8,4.2,"Live Phone","Registered Voters","Quinnipiac","2008",41,45,130,130
"131","FL","Quinnipiac",1453,"6/15/08","6/18/08",7,3,"Live Phone","Registered Voters","Quinnipiac","2008",47,43,131,131
"132","FL","Rasmussen",500,"6/16/08","6/19/08",9.8,4.2,"Live Phone","Registered Voters","Rasmussen","2008",39,47,132,132
"133","FL","Rasmussen",500,"6/27/08","6/30/08",7.7,3.3,"Live Phone","Registered Voters","Rasmussen","2008",41,48,133,133
"134","FL","Strategic Vision",1200,"6/29/08","7/2/08",7,3,"Live Phone","Registered Voters","Strategic Vision","2008",41,49,134,134
"135","FL","American Research Group",600,"7/18/08","7/21/08",5.6,2.4,"Live Phone","Registered Voters","American Research Group","2008",45,47,135,135
"136","FL","Rasmussen",500,"7/20/08","7/23/08",6.3,2.7,"Live Phone","Registered Voters","Rasmussen","2008",46,45,136,136
"137","FL","Quinnipiac",1248,"7/28/08","7/31/08",7,3,"Live Phone","Registered Voters","Quinnipiac","2008",46,44,137,137
"138","FL","SurveyUSA",679,"8/1/08","8/4/08",4.2,1.8,"Live Phone","Registered Voters","SurveyUSA","2008",44,50,138,138
"139","FL","Rasmussen",500,"8/16/08","8/19/08",7.7,3.3,"Live Phone","Registered Voters","Rasmussen","2008",43,46,139,139
"140","FL","American Research Group",600,"8/17/08","8/20/08",4.9,2.1,"Live Phone","Registered Voters","American Research Group","2008",46,47,140,140
"141","FL","Zogby",894,"8/19/08","8/22/08",11.9,5.1,"Live Phone","Registered Voters","Zogby","2008",40,43,141,141
"142","FL","Quinnipiac",1069,"8/23/08","8/26/08",7,3,"Live Phone","Registered Voters","Quinnipiac","2008",43,47,142,142
"143","FL","Strategic Vision",1200,"8/24/08","8/27/08",6.3,2.7,"Live Phone","Registered Voters","Strategic Vision","2008",42,49,143,143
"144","FL","FOX/Rasmussen",500,"9/5/08","9/8/08",2.8,1.2,"Live Phone","Registered Voters","FOX/Rasmussen","2008",48,48,144,144
"145","FL","Public Policy",986,"9/6/08","9/9/08",3.5,1.5,"Live Phone","Registered Voters","Public Policy","2008",45,50,145,145
"146","FL","Quinnipiac",1032,"9/8/08","9/11/08",4.9,2.1,"Live Phone","Registered Voters","Quinnipiac","2008",43,50,146,146
"147","FL","FOX/Rasmussen",500,"9/12/08","9/15/08",4.9,2.1,"Live Phone","Registered Voters","FOX/Rasmussen","2008",44,49,147,147
"148","FL","CNN/Time",907,"9/14/08","9/17/08",2.8,1.2,"Live Phone","Registered Voters","CNN/Time","2008",48,48,148,148
"149","FL","American Research Group",600,"9/15/08","9/18/08",5.6,2.4,"Live Phone","Registered Voters","American Research Group","2008",46,46,149,149
"150","FL","SurveyUSA",707,"9/15/08","9/18/08",2.8,1.2,"Live Phone","Registered Voters","SurveyUSA","2008",45,51,150,150
"151","FL","Research 2000",600,"9/18/08","9/21/08",6.3,2.7,"Live Phone","Registered Voters","Research 2000","2008",45,46,151,151
"152","FL","FOX/Rasmussen",500,"9/19/08","9/22/08",2.1,0.9,"Live Phone","Registered Voters","FOX/Rasmussen","2008",46,51,152,152
"153","FL","Strategic Vision",1200,"9/21/08","9/24/08",4.9,2.1,"Live Phone","Registered Voters","Strategic Vision","2008",45,48,153,153
"154","FL","American Research Group",600,"9/23/08","9/26/08",4.9,2.1,"Live Phone","Registered Voters","American Research Group","2008",47,46,154,154
"155","FL","Rasmussen",700,"9/23/08","9/26/08",3.5,1.5,"Live Phone","Registered Voters","Rasmussen","2008",47,48,155,155
"156","FL","FOX/Rasmussen",500,"9/26/08","9/29/08",4.2,1.8,"Live Phone","Registered Voters","FOX/Rasmussen","2008",47,47,156,156
"157","FL","SurveyUSA",599,"9/26/08","9/29/08",3.5,1.5,"Live Phone","Registered Voters","SurveyUSA","2008",47,48,157,157
"158","FL","Public Policy",941,"9/27/08","9/30/08",3.5,1.5,"Live Phone","Registered Voters","Public Policy","2008",49,46,158,158
"159","FL","CNN/Time",770,"9/28/08","10/1/08",1.4,0.6,"Live Phone","Registered Voters","CNN/Time","2008",51,47,159,159
"160","FL","Quinnipiac",836,"9/28/08","10/1/08",4.2,1.8,"Live Phone","Registered Voters","Quinnipiac","2008",51,43,160,160
"161","FL","FOX/Rasmussen",1000,"10/2/08","10/5/08",2.1,0.9,"Live Phone","Registered Voters","FOX/Rasmussen","2008",52,45,161,161
"162","FL","Mason-Dixon",625,"10/5/08","10/8/08",4.2,1.8,"Live Phone","Registered Voters","Mason-Dixon","2008",48,46,162,162
"163","FL","Rasmussen",700,"10/6/08","10/9/08",2.1,0.9,"Live Phone","Registered Voters","Rasmussen","2008",50,47,163,163
"164","FL","Research 2000",600,"10/7/08","10/10/08",4.9,2.1,"Live Phone","Registered Voters","Research 2000","2008",49,44,164,164
"165","FL","Strategic Vision",1200,"10/7/08","10/10/08",2.8,1.2,"Live Phone","Registered Voters","Strategic Vision","2008",52,44,165,165
"166","FL","FOX/Rasmussen",1000,"10/9/08","10/12/08",2.1,0.9,"Live Phone","Registered Voters","FOX/Rasmussen","2008",51,46,166,166
"167","FL","CNN/Time",765,"10/12/08","10/15/08",2.1,0.9,"Live Phone","Registered Voters","CNN/Time","2008",51,46,167,167
"168","FL","Research 2000",600,"10/12/08","10/15/08",4.2,1.8,"Live Phone","Registered Voters","Research 2000","2008",49,45,168,168
"169","FL","SurveyUSA",553,"10/14/08","10/17/08",2.8,1.2,"Live Phone","Registered Voters","SurveyUSA","2008",47,49,169,169
"170","FL","FOX/Rasmussen",1000,"10/16/08","10/19/08",2.1,0.9,"Live Phone","Registered Voters","FOX/Rasmussen","2008",48,49,170,170
"171","FL","Public Policy",1158,"10/18/08","10/21/08",3.5,1.5,"Live Phone","Registered Voters","Public Policy","2008",48,47,171,171
"172","FL","Mason-Dixon",625,"10/19/08","10/22/08",6.3,2.7,"Live Phone","Registered Voters","Mason-Dixon","2008",45,46,172,172
"173","FL","Quinnipiac",1433,"10/20/08","10/23/08",4.9,2.1,"Live Phone","Registered Voters","Quinnipiac","2008",49,44,173,173
"174","FL","Strategic Vision",1200,"10/21/08","10/24/08",4.2,1.8,"Live Phone","Registered Voters","Strategic Vision","2008",46,48,174,174
"175","FL","FOX/Rasmussen",1000,"10/23/08","10/26/08",1.4,0.6,"Live Phone","Registered Voters","FOX/Rasmussen","2008",51,47,175,175
"176","FL","Reuters/Zogby",603,"10/24/08","10/27/08",4.2,1.8,"Live Phone","Registered Voters","Reuters/Zogby","2008",47,47,176,176
"177","FL","Suffolk Univ.",600,"10/25/08","10/28/08",4.9,2.1,"Live Phone","Registered Voters","Suffolk Univ.","2008",49,44,177,177
"178","FL","AP-GfK Battleground",788,"10/26/08","10/29/08",8.4,3.6,"Live Phone","Registered Voters","AP-GfK Battleground","2008",45,43,178,178
"179","FL","CNN/Time",747,"10/26/08","10/29/08",1.4,0.6,"Live Phone","Registered Voters","CNN/Time","2008",51,47,179,179
"180","FL","LA Times/Bloomberg",809,"10/26/08","10/29/08",4.9,2.1,"Live Phone","Registered Voters","LA Times/Bloomberg","2008",50,43,180,180
"181","FL","Quinnipiac",1435,"10/26/08","10/29/08",5.6,2.4,"Live Phone","Registered Voters","Quinnipiac","2008",47,45,181,181
"182","FL","American Research Group",600,"10/29/08","11/1/08",2.8,1.2,"Live Phone","Registered Voters","American Research Group","2008",50,46,182,182
"183","FL","Mason-Dixon",625,"10/29/08","11/1/08",5.6,2.4,"Live Phone","Registered Voters","Mason-Dixon","2008",47,45,183,183
"184","FL","FOX/Rasmussen",1000,"10/30/08","11/2/08",0.7,0.3,"Live Phone","Registered Voters","FOX/Rasmussen","2008",49,50,184,184
"185","FL","Public Policy",1717,"10/31/08","11/3/08",1.4,0.6,"Live Phone","Registered Voters","Public Policy","2008",50,48,185,185
"186","FL","Quinnipiac",1773,"10/31/08","11/3/08",5.6,2.4,"Live Phone","Registered Voters","Quinnipiac","2008",47,45,186,186
"187","FL","Reuters/Zogby",603,"10/31/08","11/3/08",4.2,1.8,"Live Phone","Registered Voters","Reuters/Zogby","2008",48,46,187,187
"188","FL","Strategic Vision",1200,"10/31/08","11/3/08",2.8,1.2,"Live Phone","Registered Voters","Strategic Vision","2008",49,47,188,188
"189","FL","SurveyUSA",691,"10/31/08","11/3/08",2.1,0.9,"Live Phone","Registered Voters","SurveyUSA","2008",50,47,189,189
"190","GA","SurveyUSA",600,"3/3/08","3/6/08",3.5,1.5,"Live Phone","Registered Voters","SurveyUSA","2008",41,54,190,190
"191","GA","Rasmussen",500,"5/5/08","5/8/08",5.6,2.4,"Live Phone","Registered Voters","Rasmussen","2008",39,53,191,191
"192","GA","Rasmussen",500,"6/7/08","6/10/08",5.6,2.4,"Live Phone","Registered Voters","Rasmussen","2008",41,51,192,192
"193","GA","Rasmussen",500,"6/27/08","6/30/08",2.8,1.2,"Live Phone","Registered Voters","Rasmussen","2008",43,53,193,193
"194","GA","Strategic Vision",800,"6/29/08","7/2/08",4.2,1.8,"Live Phone","Registered Voters","Strategic Vision","2008",43,51,194,194
"195","GA","Rasmussen",500,"7/18/08","7/21/08",9.1,3.9,"Live Phone","Registered Voters","Rasmussen","2008",39,48,195,195
"196","GA","Rasmussen",500,"8/15/08","8/18/08",4.9,2.1,"Live Phone","Registered Voters","Rasmussen","2008",43,50,196,196
"197","GA","Strategic Vision",800,"9/9/08","9/12/08",6.3,2.7,"Live Phone","Registered Voters","Strategic Vision","2008",39,52,197,197
"198","GA","SurveyUSA",684,"9/14/08","9/17/08",1.4,0.6,"Live Phone","Registered Voters","SurveyUSA","2008",41,57,198,198
"199","GA","American Research",600,"9/19/08","9/22/08",2.8,1.2,"Live Phone","Registered Voters","American Research","2008",39,57,199,199
