"","poll_id","question_id","race_id","year","race","location","type_simple","type_detail","pollster","pollster_rating_id","polldate","samplesize","cand1_name","cand1_party","cand1_pct","cand2_name","cand2_party","cand2_pct","cand3_pct","margin_poll","electiondate","cand1_actual","cand2_actual","margin_actual","error","bias","rightcall","comment","partisan","pollsterFull","daysuntil","demBias","repBias","transparency","delMode","LV","undecided"
"901",6200,7654,828,"2000","2000_Pres-G_MI","MI","Pres-G","Pres-G","Rsr2000",281,2000-11-01,602,"Al Gore","DEM",46,"George W. Bush","REP",41,NA,5,2000-11-07,51.28,46.14,5.13,0.13,-0.13,1,"","","Research 2000",6,-5.28,-5.14,"no","Live*",TRUE,13
"902",6191,7645,830,"2000","2000_Pres-G_MO","MO","Pres-G","Pres-G","Rsr2000",281,2000-11-01,600,"Al Gore","DEM",45,"George W. Bush","REP",45,NA,0,2000-11-07,47.08,50.42,-3.34,3.34,3.34,0.5,"","","Research 2000",6,-2.08,-5.42,"no","Live*",TRUE,10
"911",6199,7653,854,"2000","2000_Pres-G_WI","WI","Pres-G","Pres-G","Rsr2000",281,2000-11-01,619,"Al Gore","DEM",46,"George W. Bush","REP",40,NA,6,2000-11-07,47.83,47.61,0.22,5.78,5.78,1,"","","Research 2000",6,-1.83,-7.61,"no","Live*",TRUE,14
"2230",4428,5752,761,"2004","2004_Pres-G_CT","CT","Pres-G","Pres-G","Rsr2000",281,2004-10-27,600,"John Kerry","DEM",52,"George W. Bush","REP",42,NA,10,2004-11-02,54.31,43.95,10.37,0.37,-0.37,1,"","","Research 2000",6,-2.31,-1.95,"no","Live*",TRUE,6
"2237",4429,5753,785,"2004","2004_Pres-G_NH","NH","Pres-G","Pres-G","Rsr2000",281,2004-10-27,600,"John Kerry","DEM",49,"George W. Bush","REP",46,NA,3,2004-11-02,50.24,48.87,1.37,1.63,1.63,1,"","","Research 2000",6,-1.24,-2.87,"no","Live*",TRUE,5
"4491",16521,21418,704,"2008","2008_Pres-G_AK","AK","Pres-G","Pres-G","Rsr2000",281,2008-10-29,600,"Barack Obama","DEM",39,"John McCain","REP",58,NA,-19,2008-11-04,37.89,59.42,-21.54,2.54,2.54,1,"","","Research 2000",6,1.11,-1.42,"no","Live*",TRUE,3
"4493",16520,21417,707,"2008","2008_Pres-G_AZ","AZ","Pres-G","Pres-G","Rsr2000",281,2008-10-29,600,"Barack Obama","DEM",47,"John McCain","REP",48,NA,-1,2008-11-04,44.91,53.39,-8.48,7.48,7.48,1,"","","Research 2000",6,2.09,-5.39,"no","Live*",TRUE,5
"4498",16518,21415,714,"2008","2008_Pres-G_GA","GA","Pres-G","Pres-G","Rsr2000",281,2008-10-29,600,"Barack Obama","DEM",44,"John McCain","REP",47,NA,-3,2008-11-04,46.9,52.1,-5.2,2.2,2.2,1,"","","Research 2000",6,-2.9,-5.1,"no","Live*",TRUE,9
"4508",16522,21419,729,"2008","2008_Pres-G_MS","MS","Pres-G","Pres-G","Rsr2000",281,2008-10-29,600,"Barack Obama","DEM",40,"John McCain","REP",53,NA,-13,2008-11-04,43,56.17,-13.17,0.17,0.17,1,"","","Research 2000",6,-3,-3.17,"no","Live*",TRUE,7
"4511",16519,21416,730,"2008","2008_Pres-G_MT","MT","Pres-G","Pres-G","Rsr2000",281,2008-10-29,500,"Barack Obama","DEM",44,"John McCain","REP",48,NA,-4,2008-11-04,47.11,49.49,-2.38,1.62,-1.62,1,"","","Research 2000",6,-3.11,-1.49,"no","Live*",TRUE,8
"4516",16539,21436,731,"2008","2008_Pres-G_NC","NC","Pres-G","Pres-G","Rsr2000",281,2008-10-29,600,"Barack Obama","DEM",47,"John McCain","REP",45,NA,2,2008-11-04,49.7,49.38,0.33,1.67,1.67,1,"","","Research 2000",6,-2.7,-4.38,"no","Live*",TRUE,8
"4517",16544,21441,732,"2008","2008_Pres-G_ND","ND","Pres-G","Pres-G","Rsr2000",281,2008-10-29,500,"Barack Obama","DEM",46,"John McCain","REP",47,NA,-1,2008-11-04,44.5,53.15,-8.65,7.65,7.65,1,"","","Research 2000",6,1.5,-6.15,"no","Live*",TRUE,7
"4519",16538,21435,734,"2008","2008_Pres-G_NH","NH","Pres-G","Pres-G","Rsr2000",281,2008-10-29,600,"Barack Obama","DEM",51,"John McCain","REP",44,NA,7,2008-11-04,54.13,44.52,9.61,2.61,-2.61,1,"","","Research 2000",6,-3.13,-0.520000000000003,"no","Live*",TRUE,5
"891",63641,117119,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","RRp-POR",277,2000-11-01,3750,"Al Gore","DEM",43,"George W. Bush","REP",46,NA,-3,2000-11-07,48.38,47.87,0.52,3.52,-3.52,0,"","","Rasmussen Reports-Pulse Opinion Research",6,-5.38,-1.87,"no","IVR/Online",TRUE,11
"894",63640,117117,815,"2000","2000_Pres-G_FL","FL","Pres-G","Pres-G","RRp-POR",277,2000-11-01,577,"Al Gore","DEM",45,"George W. Bush","REP",47,NA,-2,2000-11-07,48.84,48.85,-0.01,1.99,-1.99,1,"","","Rasmussen Reports-Pulse Opinion Research",6,-3.84,-1.85,"no","IVR/Online",TRUE,8
"903",54485,117055,833,"2000","2000_Pres-G_NC","NC","Pres-G","Pres-G","RRp-POR",277,2000-11-01,1163,"Al Gore","DEM",40,"George W. Bush","REP",50,NA,-10,2000-11-07,43.2,56.03,-12.83,2.83,2.83,1,"","","Rasmussen Reports-Pulse Opinion Research",6,-3.2,-6.03,"no","IVR/Online",TRUE,10
"2231",4375,5697,764,"2004","2004_Pres-G_FL","FL","Pres-G","Pres-G","RRp-POR",277,2004-10-27,500,"John Kerry","DEM",45,"George W. Bush","REP",50,NA,-5,2004-11-02,47.09,52.1,-5.01,0.01,0.01,1,"","","Rasmussen Reports-Pulse Opinion Research",6,-2.09,-2.1,"no","IVR/Online",TRUE,5
"4500",16561,21458,719,"2008","2008_Pres-G_IN","IN","Pres-G","Pres-G","RRp-POR",277,2008-10-29,500,"Barack Obama","DEM",46,"John McCain","REP",49,NA,-3,2008-11-04,49.84,48.81,1.03,4.03,-4.03,0,"","","Rasmussen Reports-Pulse Opinion Research",6,-3.84,0.189999999999998,"no","IVR/Online",TRUE,5
"4502",16563,21460,721,"2008","2008_Pres-G_KY","KY","Pres-G","Pres-G","RRp-POR",277,2008-10-29,500,"Barack Obama","DEM",43,"John McCain","REP",55,NA,-12,2008-11-04,41.15,57.37,-16.22,4.22,4.22,1,"","","Rasmussen Reports-Pulse Opinion Research",6,1.85,-2.37,"no","IVR/Online",TRUE,2
"4510",16562,21459,730,"2008","2008_Pres-G_MT","MT","Pres-G","Pres-G","RRp-POR",277,2008-10-29,500,"Barack Obama","DEM",46,"John McCain","REP",50,NA,-4,2008-11-04,47.11,49.49,-2.38,1.62,-1.62,1,"","","Rasmussen Reports-Pulse Opinion Research",6,-1.11,0.509999999999998,"no","IVR/Online",TRUE,4
"4515",16564,21461,731,"2008","2008_Pres-G_NC","NC","Pres-G","Pres-G","RRp-POR",277,2008-10-29,700,"Barack Obama","DEM",50,"John McCain","REP",48,NA,2,2008-11-04,49.7,49.38,0.33,1.67,1.67,1,"","","Rasmussen Reports-Pulse Opinion Research",6,0.299999999999997,-1.38,"no","IVR/Online",TRUE,2
"892",6236,7691,807,"2000","2000_Pres-G_AL","AL","Pres-G","Pres-G","UnvroSA",361,2000-11-01,442,"Al Gore","DEM",28,"George W. Bush","REP",48,NA,-20,2000-11-07,41.59,56.47,-14.88,5.12,-5.12,1,"","","University of South Alabama",6,-13.59,-8.47,"no","Live",TRUE,24
"8449",48335,75719,624,"2016","2016_Pres-G_MI","MI","Pres-G","Pres-G","EPIC-MR",84,2016-11-02,600,"Hillary Rodham Clinton","DEM",42,"Donald Trump","REP",38,NA,4,2016-11-08,47.03,47.25,-0.22,4.22,4.22,0,"","","EPIC-MRA",6,-5.03,-9.25,"no","Live",TRUE,20
"887",66220,123205,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2000-11-01,1280,"Al Gore","DEM",45,"George W. Bush","REP",48,NA,-3,2000-11-07,48.38,47.87,0.52,3.52,-3.52,0,"","","ABC News-The Washington Post",6,-3.38,0.130000000000003,"yes","Live",TRUE,7
"4485",15058,19898,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","FN-ODC.",104,2008-10-29,924,"Barack Obama","DEM",47,"John McCain","REP",44,NA,3,2008-11-04,52.86,45.6,7.26,4.26,-4.26,1,"","","Fox News-Opinion Dynamics Corp.",6,-5.86,-1.6,"yes","Live*",TRUE,9
"2226",15016,19856,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","GQRR(GQ",126,2004-10-27,1000,"John Kerry","DEM",49,"George W. Bush","REP",47,NA,2,2004-11-02,48.26,50.73,-2.46,4.46,4.46,0,"","","GQR Research (GQRR)",6,0.740000000000002,-3.73,"yes","Online/Live",TRUE,4
"4486",15078,19918,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","Gallup",112,2008-10-29,2459,"Barack Obama","DEM",52,"John McCain","REP",43,NA,9,2008-11-04,52.86,45.6,7.26,1.74,1.74,1,"","","Gallup",6,-0.859999999999999,-2.6,"yes","Live",TRUE,5
"890",63596,117048,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","PrnSRAI",258,2000-11-01,808,"Al Gore","DEM",43,"George W. Bush","REP",45,NA,-2,2000-11-07,48.38,47.87,0.52,2.52,-2.52,0,"","","Princeton Survey Research Associates International",6,-5.38,-2.87,"yes","Live",TRUE,12
"893",6196,7650,814,"2000","2000_Pres-G_DE","DE","Pres-G","Pres-G","Ms-DP&S",197,2000-11-01,625,"Al Gore","DEM",42,"George W. Bush","REP",46,NA,-4,2000-11-07,54.96,41.9,13.06,17.06,-17.06,0,"","","Mason-Dixon Polling & Strategy",6,-12.96,4.1,"no","Live",TRUE,12
"4495",16552,21449,709,"2008","2008_Pres-G_CO","CO","Pres-G","Pres-G","Ms-DP&S",197,2008-10-29,625,"Barack Obama","DEM",49,"John McCain","REP",44,NA,5,2008-11-04,53.66,44.71,8.95,3.95,-3.95,1,"","","Mason-Dixon Polling & Strategy",6,-4.66,-0.710000000000001,"no","Live",TRUE,7
"4497",16553,21450,713,"2008","2008_Pres-G_FL","FL","Pres-G","Pres-G","Ms-DP&S",197,2008-10-29,625,"Barack Obama","DEM",47,"John McCain","REP",45,NA,2,2008-11-04,50.91,48.1,2.81,0.81,-0.81,1,"","","Mason-Dixon Polling & Strategy",6,-3.91,-3.1,"no","Live",TRUE,8
"4506",16554,21451,728,"2008","2008_Pres-G_MO","MO","Pres-G","Pres-G","Ms-DP&S",197,2008-10-29,625,"Barack Obama","DEM",46,"John McCain","REP",47,NA,-1,2008-11-04,49.23,49.36,-0.13,0.87,-0.87,1,"","","Mason-Dixon Polling & Strategy",6,-3.23,-2.36,"no","Live",TRUE,7
"4513",16556,21453,731,"2008","2008_Pres-G_NC","NC","Pres-G","Pres-G","Ms-DP&S",197,2008-10-29,625,"Barack Obama","DEM",46,"John McCain","REP",49,NA,-3,2008-11-04,49.7,49.38,0.33,3.33,-3.33,0,"","","Mason-Dixon Polling & Strategy",6,-3.7,-0.380000000000003,"no","Live",TRUE,5
"4523",16555,21452,737,"2008","2008_Pres-G_NV","NV","Pres-G","Pres-G","Ms-DP&S",197,2008-10-29,625,"Barack Obama","DEM",47,"John McCain","REP",43,NA,4,2008-11-04,55.15,42.65,12.49,8.49,-8.49,1,"","","Mason-Dixon Polling & Strategy",6,-8.15,0.350000000000001,"no","Live",TRUE,10
"4524",16557,21454,739,"2008","2008_Pres-G_OH","OH","Pres-G","Pres-G","Ms-DP&S",197,2008-10-29,625,"Barack Obama","DEM",45,"John McCain","REP",47,NA,-2,2008-11-04,51.38,46.8,4.58,6.58,-6.58,0,"","","Mason-Dixon Polling & Strategy",6,-6.38,0.200000000000003,"no","Live",TRUE,8
"4528",16551,21448,749,"2008","2008_Pres-G_VA","VA","Pres-G","Pres-G","Ms-DP&S",197,2008-10-29,625,"Barack Obama","DEM",47,"John McCain","REP",44,NA,3,2008-11-04,52.63,46.33,6.3,3.3,-3.3,1,"","","Mason-Dixon Polling & Strategy",6,-5.63,-2.33,"no","Live",TRUE,9
"6428",30625,36922,662,"2012","2012_Pres-G_FL","FL","Pres-G","Pres-G","Ms-DP&S",197,2012-10-31,800,"Barack Obama","DEM",45,"Mitt Romney","REP",51,NA,-6,2012-11-06,49.9,49.03,0.88,6.88,-6.88,0,"","","Mason-Dixon Polling & Strategy",6,-4.9,1.97,"no","Live",TRUE,4
"888",6237,7692,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","GU(Btt)",114,2000-11-01,1000,"Al Gore","DEM",37,"George W. Bush","REP",46,NA,-9,2000-11-07,48.38,47.87,0.52,9.52,-9.52,0,"","","Georgetown University (Battleground)",6,-11.38,-1.87,"yes","Live",TRUE,17
"2227",14922,19762,39,"2004","2004_Pres-G_US","US","Pres-G","Pres-G","GU(Btt)",114,2004-10-27,1000,"John Kerry","DEM",45,"George W. Bush","REP",50,NA,-5,2004-11-02,48.26,50.73,-2.46,2.54,-2.54,1,"","","Georgetown University (Battleground)",6,-3.26,-0.729999999999997,"yes","Live",TRUE,5
"4487",14933,19773,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","GU(Btt)",114,2008-10-29,1000,"Barack Obama","DEM",49,"John McCain","REP",45,NA,4,2008-11-04,52.86,45.6,7.26,3.26,-3.26,1,"","","Georgetown University (Battleground)",6,-3.86,-0.600000000000001,"yes","Live",TRUE,6
"6426",30675,36934,37,"2012","2012_Pres-G_US","US","Pres-G","Pres-G","GU(Btt)",114,2012-10-31,1000,"Barack Obama","DEM",48,"Mitt Romney","REP",48,NA,0,2012-11-06,51.01,47.15,3.86,3.86,-3.86,0.5,"","","Georgetown University (Battleground)",6,-3.01,0.850000000000001,"yes","Live",TRUE,4
"4488",15610,20450,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","IBD-TIP",144,2008-10-29,970,"Barack Obama","DEM",48,"John McCain","REP",43,NA,5,2008-11-04,52.86,45.6,7.26,2.26,-2.26,1,"","","IBD-TIPP",6,-4.86,-2.6,"yes","Online/Live",TRUE,9
"898",54453,117309,821,"2000","2000_Pres-G_IN","IN","Pres-G","Pres-G","SrvyUSA",325,2000-11-01,500,"Al Gore","DEM",32,"George W. Bush","REP",60,NA,-28,2000-11-07,41.01,56.65,-15.63,12.37,-12.37,1,"","","SurveyUSA",6,-9.01,3.35,"yes","IVR/Online/Live",TRUE,8
"899",63747,117364,823,"2000","2000_Pres-G_KY","KY","Pres-G","Pres-G","SrvyUSA",325,2000-11-01,500,"Al Gore","DEM",40,"George W. Bush","REP",58,NA,-18,2000-11-07,41.37,56.5,-15.13,2.87,-2.87,1,"","","SurveyUSA",6,-1.37,1.5,"yes","IVR/Online/Live",TRUE,2
"907",63748,117365,841,"2000","2000_Pres-G_OH","OH","Pres-G","Pres-G","SrvyUSA",325,2000-11-01,500,"Al Gore","DEM",43,"George W. Bush","REP",50,NA,-7,2000-11-07,46.46,49.97,-3.51,3.49,-3.49,1,"","","SurveyUSA",6,-3.46,0.0300000000000011,"yes","IVR/Online/Live",TRUE,7
"909",63749,117366,844,"2000","2000_Pres-G_PA","PA","Pres-G","Pres-G","SrvyUSA",325,2000-11-01,800,"Al Gore","DEM",48.01,"George W. Bush","REP",48,NA,0.01,2000-11-07,50.6,46.43,4.17,4.16,-4.16,1,"","","SurveyUSA",6,-2.59,1.57,"yes","IVR/Online/Live",TRUE,3.99
"2241",4425,5749,789,"2004","2004_Pres-G_NY","NY","Pres-G","Pres-G","SrvyUSA",325,2004-10-27,628,"John Kerry","DEM",57,"George W. Bush","REP",39,NA,18,2004-11-02,58.36,40.08,18.29,0.29,-0.29,1,"","","SurveyUSA",6,-1.36,-1.08,"yes","IVR/Online/Live",TRUE,4
"2244",4426,5750,798,"2004","2004_Pres-G_TX","TX","Pres-G","Pres-G","SrvyUSA",325,2004-10-27,602,"John Kerry","DEM",37,"George W. Bush","REP",59,NA,-22,2004-11-02,38.22,61.09,-22.86,0.86,0.86,1,"","","SurveyUSA",6,-1.22,-2.09,"yes","IVR/Online/Live",TRUE,4
"4499",16572,21469,716,"2008","2008_Pres-G_IA","IA","Pres-G","Pres-G","SrvyUSA",325,2008-10-29,658,"Barack Obama","DEM",55,"John McCain","REP",40,NA,15,2008-11-04,53.93,44.39,9.53,5.47,5.47,1,"","","SurveyUSA",6,1.07,-4.39,"yes","IVR/Online/Live",TRUE,5
"4501",16525,21422,719,"2008","2008_Pres-G_IN","IN","Pres-G","Pres-G","SrvyUSA",325,2008-10-29,900,"Barack Obama","DEM",47,"John McCain","REP",47,NA,0,2008-11-04,49.84,48.81,1.03,1.03,-1.03,0.5,"","","SurveyUSA",6,-2.84,-1.81,"yes","IVR/Online/Live",TRUE,6
"4525",16571,21468,740,"2008","2008_Pres-G_OK","OK","Pres-G","Pres-G","SrvyUSA",325,2008-10-29,594,"Barack Obama","DEM",34,"John McCain","REP",63,NA,-29,2008-11-04,34.35,65.65,-31.29,2.29,2.29,1,"","","SurveyUSA",6,-0.350000000000001,-2.65000000000001,"yes","IVR/Online/Live",TRUE,3
"4527",16573,21470,744,"2008","2008_Pres-G_SC","SC","Pres-G","Pres-G","SrvyUSA",325,2008-10-29,654,"Barack Obama","DEM",44,"John McCain","REP",52,NA,-8,2008-11-04,44.9,53.87,-8.98,0.98,0.98,1,"","","SurveyUSA",6,-0.899999999999999,-1.87,"yes","IVR/Online/Live",TRUE,4
"4530",16570,21467,752,"2008","2008_Pres-G_WI","WI","Pres-G","Pres-G","SrvyUSA",325,2008-10-29,667,"Barack Obama","DEM",55,"John McCain","REP",39,NA,16,2008-11-04,56.22,42.31,13.9,2.1,2.1,1,"","","SurveyUSA",6,-1.22,-3.31,"yes","IVR/Online/Live",TRUE,6
"6431",30736,37040,677,"2012","2012_Pres-G_MO","MO","Pres-G","Pres-G","SrvyUSA",325,2012-10-31,589,"Barack Obama","DEM",43,"Mitt Romney","REP",50,NA,-7,2012-11-06,44.28,53.64,-9.36,2.36,2.36,1,"","","SurveyUSA",6,-1.28,-3.64,"yes","IVR/Online/Live",TRUE,7
"904",6211,7666,836,"2000","2000_Pres-G_NH","NH","Pres-G","Pres-G","AmrcnRG",9,2000-11-01,600,"Al Gore","DEM",40,"George W. Bush","REP",45,NA,-5,2000-11-07,46.8,48.07,-1.27,3.73,-3.73,1,"","","American Research Group",6,-6.8,-3.07,"yes","Live",TRUE,15
"4492",16514,21411,707,"2008","2008_Pres-G_AZ","AZ","Pres-G","Pres-G","AmrcnRG",9,2008-10-29,600,"Barack Obama","DEM",46,"John McCain","REP",50,NA,-4,2008-11-04,44.91,53.39,-8.48,4.48,4.48,1,"","","American Research Group",6,1.09,-3.39,"yes","Live",TRUE,4
"4494",16515,21412,709,"2008","2008_Pres-G_CO","CO","Pres-G","Pres-G","AmrcnRG",9,2008-10-29,600,"Barack Obama","DEM",52,"John McCain","REP",45,NA,7,2008-11-04,53.66,44.71,8.95,1.95,-1.95,1,"","","American Research Group",6,-1.66,0.289999999999999,"yes","Live",TRUE,3
"4505",16516,21413,728,"2008","2008_Pres-G_MO","MO","Pres-G","Pres-G","AmrcnRG",9,2008-10-29,600,"Barack Obama","DEM",48,"John McCain","REP",48,NA,0,2008-11-04,49.23,49.36,-0.13,0.13,0.13,0.5,"","","American Research Group",6,-1.23,-1.36,"yes","Live",TRUE,4
"4509",16513,21410,730,"2008","2008_Pres-G_MT","MT","Pres-G","Pres-G","AmrcnRG",9,2008-10-29,600,"Barack Obama","DEM",46,"John McCain","REP",49,NA,-3,2008-11-04,47.11,49.49,-2.38,0.62,-0.62,1,"","","American Research Group",6,-1.11,-0.490000000000002,"yes","Live",TRUE,5
"4518",16517,21414,734,"2008","2008_Pres-G_NH","NH","Pres-G","Pres-G","AmrcnRG",9,2008-10-29,600,"Barack Obama","DEM",56,"John McCain","REP",41,NA,15,2008-11-04,54.13,44.52,9.61,5.39,5.39,1,"","","American Research Group",6,1.87,-3.52,"yes","Live",TRUE,3
"6432",30671,36926,685,"2012","2012_Pres-G_NM","NM","Pres-G","Pres-G","PblcOpS",260,2012-10-31,500,"Barack Obama","DEM",49,"Mitt Romney","REP",41,NA,8,2012-11-06,52.99,42.84,10.15,2.15,-2.15,1,"","","Public Opinion Strategies",6,-3.99,-1.84,"yes","Online/Live",TRUE,10
"8447",48333,75722,617,"2016","2016_Pres-G_IN","IN","Pres-G","Pres-G","PblcOpS",260,2016-11-02,600,"Hillary Rodham Clinton","DEM",37,"Donald Trump","REP",48,NA,-11,2016-11-08,37.46,56.47,-19.01,8.01,8.01,1,"","","Public Opinion Strategies",6,-0.460000000000001,-8.47,"yes","Online/Live",TRUE,15
"900",6249,7705,828,"2000","2000_Pres-G_MI","MI","Pres-G","Pres-G","MtchR&C",213,2000-11-01,800,"Al Gore","DEM",46,"George W. Bush","REP",41,NA,5,2000-11-07,51.28,46.14,5.13,0.13,-0.13,1,"","","Mitchell Research & Communications",6,-5.28,-5.14,"no","IVR/Live",TRUE,13
"2234",4396,5720,777,"2004","2004_Pres-G_MI","MI","Pres-G","Pres-G","MtchR&C",213,2004-10-27,600,"John Kerry","DEM",43,"George W. Bush","REP",41,NA,2,2004-11-02,51.23,47.81,3.42,1.42,-1.42,1,"","","Mitchell Research & Communications",6,-8.23,-6.81,"no","IVR/Live",TRUE,16
"8450",48212,75512,624,"2016","2016_Pres-G_MI","MI","Pres-G","Pres-G","MtchR&C",213,2016-11-02,1150,"Hillary Rodham Clinton","DEM",49,"Donald Trump","REP",45,NA,4,2016-11-08,47.03,47.25,-0.22,4.22,4.22,0,"average of multiple versions or turnout models listed in poll","","Mitchell Research & Communications",6,1.97,-2.25,"no","IVR/Live",TRUE,6
"906",6217,7672,840,"2000","2000_Pres-G_NY","NY","Pres-G","Pres-G","Blm&WpA",32,2000-11-01,883,"Al Gore","DEM",55,"George W. Bush","REP",31,NA,24,2000-11-07,60.22,35.22,25,1,-1,1,"","","Blum & Weprin Associates",6,-5.22,-4.22,"no","Live",TRUE,14
"8438",48202,75506,607,"2016","2016_Pres-G_CO","CO","Pres-G","Pres-G","MgllnSt",179,2016-11-02,500,"Hillary Rodham Clinton","DEM",44.1,"Donald Trump","REP",37.6,NA,6.5,2016-11-08,48.16,43.25,4.91,1.59,1.59,1,"","","Magellan Strategies",6,-4.06,-5.65,"no","Online/Live",TRUE,18.3
"4489",15283,20123,38,"2008","2008_Pres-G_US","US","Pres-G","Pres-G","MrstCll",183,2008-10-29,535,"Barack Obama","DEM",50,"John McCain","REP",43,NA,7,2008-11-04,52.86,45.6,7.26,0.26,-0.26,1,"","","Marist College",6,-2.86,-2.6,"yes","Live",TRUE,7
