"","poll_id","question_id","race_id","year","race","location","type_simple","type_detail","pollster","pollster_rating_id","polldate","samplesize","cand1_name","cand1_party","cand1_pct","cand2_name","cand2_party","cand2_pct","cand3_pct","margin_poll","electiondate","cand1_actual","cand2_actual","margin_actual","error","bias","rightcall","comment","partisan","pollsterFull","daysuntil","demBias","repBias"
"488",54529,117061,855,"2000","2000_Pres-G_WV","WV","Pres-G","Pres-G","RRp-POR",277,2000-10-18,1036,"Al Gore","DEM",42,"George W. Bush","REP",44,NA,-2,2000-11-07,45.59,51.92,-6.32,4.32,4.32,1,"","","Rasmussen Reports-Pulse Opinion Research",20,-3.59,-7.92
"496",6449,7918,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2000-10-19,1020,"Al Gore","DEM",45,"George W. Bush","REP",47,NA,-2,2000-11-07,48.38,47.87,0.52,2.52,-2.52,0,"","","ABC News-The Washington Post",19,-3.38,-0.869999999999997
"497",37111,116971,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","FN-ODC.",104,2000-10-19,900,"Al Gore","DEM",42,"George W. Bush","REP",45,NA,-3,2000-11-07,48.38,47.87,0.52,3.52,-3.52,0,"","","Fox News-Opinion Dynamics Corp.",19,-6.38,-2.87
"498",37110,122044,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","GQRR(GQ",126,2000-10-19,1009,"Al Gore","DEM",47.5,"George W. Bush","REP",45,NA,2.5,2000-11-07,48.38,47.87,0.52,1.98,1.98,1,"average of multiple versions or turnout models listed in poll","","GQR Research (GQRR)",19,-0.880000000000003,-2.87
"499",6458,7927,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","GQRR(GQ",126,2000-10-19,832,"Al Gore","DEM",46,"George W. Bush","REP",45,NA,1,2000-11-07,48.38,47.87,0.52,0.48,0.48,1,"","","GQR Research (GQRR)",19,-2.38,-2.87
"500",6456,7925,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","Gallup",112,2000-10-19,718,"Al Gore","DEM",40,"George W. Bush","REP",51,NA,-11,2000-11-07,48.38,47.87,0.52,11.52,-11.52,0,"","","Gallup",19,-8.38,3.13
"501",28095,117046,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","PrnSRAI",258,2000-10-19,800,"Al Gore","DEM",41,"George W. Bush","REP",48,NA,-7,2000-11-07,48.38,47.87,0.52,7.52,-7.52,0,"","","Princeton Survey Research Associates International",19,-7.38,0.130000000000003
"502",6446,7915,807,"2000","2000_Pres-G_AL","AL","Pres-G","Pres-G","CptlSRC",44,2000-10-19,580,"Al Gore","DEM",37,"George W. Bush","REP",55,NA,-18,2000-11-07,41.59,56.47,-14.88,3.12,-3.12,1,"","","Capital Survey Research Center",19,-4.59,-1.47
"503",63602,117066,824,"2000","2000_Pres-G_LA","LA","Pres-G","Pres-G","RRp-POR",277,2000-10-19,733,"Al Gore","DEM",41,"George W. Bush","REP",48,NA,-7,2000-11-07,44.88,52.55,-7.68,0.68,0.68,1,"","","Rasmussen Reports-Pulse Opinion Research",19,-3.88,-4.55
"504",6482,7951,824,"2000","2000_Pres-G_LA","LA","Pres-G","Pres-G","UnvroNO",358,2000-10-19,461,"Al Gore","DEM",35,"George W. Bush","REP",48,NA,-13,2000-11-07,44.88,52.55,-7.68,5.32,-5.32,1,"average of multiple versions or turnout models listed in poll","","University of New Orleans",19,-9.88,-4.55
"505",6491,7961,829,"2000","2000_Pres-G_MN","MN","Pres-G","Pres-G","St.ClSU",312,2000-10-19,514,"Al Gore","DEM",38,"George W. Bush","REP",41,NA,-3,2000-11-07,47.91,45.5,2.4,5.4,-5.4,0,"","","St. Cloud State University",19,-9.91,-4.5
"506",54474,117054,832,"2000","2000_Pres-G_MT","MT","Pres-G","Pres-G","RRp-POR",277,2000-10-19,968,"Al Gore","DEM",28,"George W. Bush","REP",56,NA,-28,2000-11-07,33.36,58.44,-25.07,2.93,-2.93,1,"","","Rasmussen Reports-Pulse Opinion Research",19,-5.36,-2.44
"507",6462,7931,841,"2000","2000_Pres-G_OH","OH","Pres-G","Pres-G","Ms-DP&S",197,2000-10-19,625,"Al Gore","DEM",41,"George W. Bush","REP",45,NA,-4,2000-11-07,46.46,49.97,-3.51,0.49,-0.49,1,"","","Mason-Dixon Polling & Strategy",19,-5.46,-4.97
"508",63603,117067,845,"2000","2000_Pres-G_RI","RI","Pres-G","Pres-G","RRp-POR",277,2000-10-19,802,"Al Gore","DEM",49,"George W. Bush","REP",30,NA,19,2000-11-07,60.99,31.91,29.08,10.08,-10.08,1,"","","Rasmussen Reports-Pulse Opinion Research",19,-11.99,-1.91
"509",6463,7932,852,"2000","2000_Pres-G_VT","VT","Pres-G","Pres-G","Ms-DP&S",197,2000-10-19,628,"Al Gore","DEM",47,"George W. Bush","REP",38,NA,9,2000-11-07,50.63,40.7,9.94,0.94,-0.94,1,"","","Mason-Dixon Polling & Strategy",19,-3.63,-2.7
"510",6451,7920,853,"2000","2000_Pres-G_WA","WA","Pres-G","Pres-G","ElwyRsr",87,2000-10-19,400,"Al Gore","DEM",46,"George W. Bush","REP",37,NA,9,2000-11-07,50.13,44.56,5.58,3.42,3.42,1,"among registered voters","","Elway Research",19,-4.13,-7.56
"523",6440,121959,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2000-10-20,1071,"Al Gore","DEM",46.5,"George W. Bush","REP",48.5,NA,-2,2000-11-07,48.38,47.87,0.52,2.52,-2.52,0,"average of multiple versions or turnout models listed in poll","","ABC News-The Washington Post",18,-1.88,0.630000000000003
"524",28091,116948,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","AmrcnVw",10,2000-10-20,800,"Al Gore","DEM",40,"George W. Bush","REP",42,NA,-2,2000-11-07,48.38,47.87,0.52,2.52,-2.52,0,"","","American Viewpoint",18,-8.38,-5.87
"525",28094,121992,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","CBSNNYT",36,2000-10-20,712.5,"Al Gore","DEM",45.5,"George W. Bush","REP",47,NA,-1.5,2000-11-07,48.38,47.87,0.52,2.02,-2.02,0,"sample size unavailable; estimated at 600 as a default; average of multiple versions or turnout models listed in poll","","CBS News-The New York Times",18,-2.88,-0.869999999999997
"526",6460,7929,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","PwRsrcC",253,2000-10-20,663,"Al Gore","DEM",45,"George W. Bush","REP",45,NA,0,2000-11-07,48.38,47.87,0.52,0.52,-0.52,0.5,"","","Pew Research Center",18,-3.38,-2.87
"527",6448,7917,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","SSRS",297,2000-10-20,653,"Al Gore","DEM",41,"George W. Bush","REP",43,NA,-2,2000-11-07,48.38,47.87,0.52,2.52,-2.52,0,"","","SSRS",18,-7.38,-4.87
"528",6435,7904,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ZIn-JZA",395,2000-10-20,1200,"Al Gore","DEM",41,"George W. Bush","REP",45,NA,-4,2000-11-07,48.38,47.87,0.52,4.52,-4.52,0,"","","Zogby Interactive-JZ Analytics",18,-7.38,-2.87
"529",25743,7936,815,"2000","2000_Pres-G_FL","FL","Pres-G","Pres-G","Flmng&A",96,2000-10-20,606,"Al Gore","DEM",41,"George W. Bush","REP",46,NA,-5,2000-11-07,48.84,48.85,-0.01,4.99,-4.99,1,"","","Fleming & Associates",18,-7.84,-2.85
"530",6547,8016,849,"2000","2000_Pres-G_TX","TX","Pres-G","Pres-G","ScrppsH",303,2000-10-20,1000,"Al Gore","DEM",27,"George W. Bush","REP",57,NA,-30,2000-11-07,37.98,59.3,-21.32,8.68,-8.68,1,"among registered voters","","Scripps Howard",18,-10.98,-2.3
"531",6447,7916,854,"2000","2000_Pres-G_WI","WI","Pres-G","Pres-G","HrrsI&A",133,2000-10-20,587,"Al Gore","DEM",40,"George W. Bush","REP",49,NA,-9,2000-11-07,47.83,47.61,0.22,9.22,-9.22,0,"","","Harris Insights & Analytics",18,-7.83,1.39
"538",6455,7924,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","GU(Btt)",114,2000-10-21,1000,"Al Gore","DEM",39,"George W. Bush","REP",45,NA,-6,2000-11-07,48.38,47.87,0.52,6.52,-6.52,0,"","","Georgetown University (Battleground)",17,-9.38,-2.87
"539",63586,117028,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","IBD-TIP",144,2000-10-21,829,"Al Gore","DEM",42,"George W. Bush","REP",44,NA,-2,2000-11-07,48.38,47.87,0.52,2.52,-2.52,0,"","","IBD-TIPP",17,-6.38,-3.87
"540",6436,7905,809,"2000","2000_Pres-G_AZ","AZ","Pres-G","Pres-G","ArznStU",15,2000-10-21,600,"Al Gore","DEM",39,"George W. Bush","REP",49,NA,-10,2000-11-07,44.67,50.95,-6.28,3.72,-3.72,1,"sample size unavailable; estimated at 600 as a default","","Arizona State University",17,-5.67,-1.95
"541",63604,117068,809,"2000","2000_Pres-G_AZ","AZ","Pres-G","Pres-G","RRp-POR",277,2000-10-21,610,"Al Gore","DEM",37,"George W. Bush","REP",49,NA,-12,2000-11-07,44.67,50.95,-6.28,5.72,-5.72,1,"","","Rasmussen Reports-Pulse Opinion Research",17,-7.67,-1.95
"542",6442,15913,810,"2000","2000_Pres-G_CA","CA","Pres-G","Pres-G","LsAnglT",172,2000-10-21,852,"Al Gore","DEM",48,"George W. Bush","REP",41,NA,7,2000-11-07,53.45,41.65,11.8,4.8,-4.8,1,"average of multiple versions or turnout models listed in poll","","Los Angeles Times",17,-5.45,-0.649999999999999
"543",63605,117069,819,"2000","2000_Pres-G_ID","ID","Pres-G","Pres-G","RRp-POR",277,2000-10-21,890,"Al Gore","DEM",24,"George W. Bush","REP",62,NA,-38,2000-11-07,27.64,67.17,-39.53,1.53,1.53,1,"","","Rasmussen Reports-Pulse Opinion Research",17,-3.64,-5.17
"544",63606,117070,823,"2000","2000_Pres-G_KY","KY","Pres-G","Pres-G","RRp-POR",277,2000-10-21,944,"Al Gore","DEM",39,"George W. Bush","REP",48,NA,-9,2000-11-07,41.37,56.5,-15.13,6.13,6.13,1,"","","Rasmussen Reports-Pulse Opinion Research",17,-2.37,-8.5
"545",6422,7890,824,"2000","2000_Pres-G_LA","LA","Pres-G","Pres-G","Ms-DP&S",197,2000-10-21,624,"Al Gore","DEM",39,"George W. Bush","REP",52,NA,-13,2000-11-07,44.88,52.55,-7.68,5.32,-5.32,1,"","","Mason-Dixon Polling & Strategy",17,-5.88,-0.549999999999997
"546",6445,7914,824,"2000","2000_Pres-G_LA","LA","Pres-G","Pres-G","SthstLU",309,2000-10-21,660,"Al Gore","DEM",38,"George W. Bush","REP",46,NA,-8,2000-11-07,44.88,52.55,-7.68,0.32,-0.32,1,"","","Southeastern Louisiana University",17,-6.88,-6.55
"547",63729,117323,826,"2000","2000_Pres-G_MD","MD","Pres-G","Pres-G","SrvyUSA",325,2000-10-21,500,"Al Gore","DEM",52,"George W. Bush","REP",41,NA,11,2000-11-07,56.57,40.18,16.39,5.39,-5.39,1,"","","SurveyUSA",17,-4.57,0.82
"548",6434,7903,832,"2000","2000_Pres-G_MT","MT","Pres-G","Pres-G","MnnsSUM",211,2000-10-21,403,"Al Gore","DEM",33,"George W. Bush","REP",51,NA,-18,2000-11-07,33.36,58.44,-25.07,7.07,7.07,1,"","","Minnesota State University Moorhead",17,-0.359999999999999,-7.44
"549",25829,117038,832,"2000","2000_Pres-G_MT","MT","Pres-G","Pres-G","MntnSUB",216,2000-10-21,403,"Al Gore","DEM",31,"George W. Bush","REP",55,NA,-24,2000-11-07,33.36,58.44,-25.07,1.07,1.07,1,"","","Montana State University Billings",17,-2.36,-3.44
"550",54489,117056,834,"2000","2000_Pres-G_ND","ND","Pres-G","Pres-G","RRp-POR",277,2000-10-21,1258,"Al Gore","DEM",34,"George W. Bush","REP",49,NA,-15,2000-11-07,33.05,60.66,-27.6,12.6,12.6,1,"","","Rasmussen Reports-Pulse Opinion Research",17,0.950000000000003,-11.66
"551",6464,7933,837,"2000","2000_Pres-G_NJ","NJ","Pres-G","Pres-G","QnnpcUn",267,2000-10-21,909,"Al Gore","DEM",47,"George W. Bush","REP",41,NA,6,2000-11-07,56.13,40.29,15.83,9.83,-9.83,1,"","","Quinnipiac University",17,-9.13,0.710000000000001
"552",63607,117071,843,"2000","2000_Pres-G_OR","OR","Pres-G","Pres-G","RRp-POR",277,2000-10-21,1352,"Al Gore","DEM",38,"George W. Bush","REP",43,NA,-5,2000-11-07,46.96,46.52,0.44,5.44,-5.44,0,"","","Rasmussen Reports-Pulse Opinion Research",17,-8.96,-3.52
"553",6443,7913,844,"2000","2000_Pres-G_PA","PA","Pres-G","Pres-G","WstChsU",377,2000-10-21,600,"Al Gore","DEM",44,"George W. Bush","REP",33,NA,11,2000-11-07,50.6,46.43,4.17,6.83,6.83,1,"sample size unavailable; estimated at 600 as a default","","West Chester University",17,-6.6,-13.43
"554",63608,117072,848,"2000","2000_Pres-G_TN","TN","Pres-G","Pres-G","RRp-POR",277,2000-10-21,839,"Al Gore","DEM",43,"George W. Bush","REP",47,NA,-4,2000-11-07,47.28,51.15,-3.86,0.14,-0.14,1,"","","Rasmussen Reports-Pulse Opinion Research",17,-4.28,-4.15
"555",6454,7923,851,"2000","2000_Pres-G_VA","VA","Pres-G","Pres-G","VrgnCmU",370,2000-10-21,596,"Al Gore","DEM",40,"George W. Bush","REP",54,NA,-14,2000-11-07,44.44,52.47,-8.04,5.96,-5.96,1,"","","Virginia Commonwealth University",17,-4.44,1.53
"556",6452,7921,854,"2000","2000_Pres-G_WI","WI","Pres-G","Pres-G","St.NrbC",313,2000-10-21,413,"Al Gore","DEM",46,"George W. Bush","REP",39,NA,7,2000-11-07,47.83,47.61,0.22,6.78,6.78,1,"","","St. Norbert College",17,-1.83,-8.61
"572",6420,7888,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2000-10-22,1070,"Al Gore","DEM",47.5,"George W. Bush","REP",47,NA,0.5,2000-11-07,48.38,47.87,0.52,0.02,-0.02,1,"average of multiple versions or turnout models listed in poll","","ABC News-The Washington Post",16,-0.880000000000003,-0.869999999999997
"573",6418,7885,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","Gallup",112,2000-10-22,752,"Al Gore","DEM",46,"George W. Bush","REP",45,NA,1,2000-11-07,48.38,47.87,0.52,0.48,0.48,1,"","","Gallup",16,-2.38,-2.87
"574",63612,117076,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","RRp-POR",277,2000-10-22,3750,"Al Gore","DEM",47,"George W. Bush","REP",41,NA,6,2000-11-07,48.38,47.87,0.52,5.48,5.48,1,"","","Rasmussen Reports-Pulse Opinion Research",16,-1.38,-6.87
"575",6431,7900,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","WrthlnW",387,2000-10-22,751,"Al Gore","DEM",43,"George W. Bush","REP",47,NA,-4,2000-11-07,48.38,47.87,0.52,4.52,-4.52,0,"","","Wirthlin Worldwide",16,-5.38,-0.869999999999997
"576",6424,7892,815,"2000","2000_Pres-G_FL","FL","Pres-G","Pres-G","AmrcnRG",9,2000-10-22,600,"Al Gore","DEM",49,"George W. Bush","REP",45,NA,4,2000-11-07,48.84,48.85,-0.01,4.01,4.01,0,"","","American Research Group",16,0.159999999999997,-3.85
"577",63609,117073,816,"2000","2000_Pres-G_GA","GA","Pres-G","Pres-G","RRp-POR",277,2000-10-22,1029,"Al Gore","DEM",40,"George W. Bush","REP",50,NA,-10,2000-11-07,42.98,54.67,-11.69,1.69,1.69,1,"","","Rasmussen Reports-Pulse Opinion Research",16,-2.98,-4.67
"578",6433,7902,817,"2000","2000_Pres-G_HI","HI","Pres-G","Pres-G","WR(HS-A",375,2000-10-22,261,"Al Gore","DEM",50,"George W. Bush","REP",31,NA,19,2000-11-07,55.79,37.46,18.33,0.67,0.67,1,"","","Ward Research (Honolulu Star-Advertiser)",16,-5.79,-6.46
"579",6421,7889,820,"2000","2000_Pres-G_IL","IL","Pres-G","Pres-G","MrSCrp.",187,2000-10-22,899,"Al Gore","DEM",45,"George W. Bush","REP",35,NA,10,2000-11-07,54.6,42.58,12.01,2.01,-2.01,1,"","","Market Shares Corp.",16,-9.6,-7.58
"580",25884,117039,827,"2000","2000_Pres-G_ME","ME","Pres-G","Pres-G","PnAtlnR",249,2000-10-22,400,"Al Gore","DEM",47,"George W. Bush","REP",36,NA,11,2000-11-07,49.09,43.97,5.11,5.89,5.89,1,"","","Pan Atlantic Research",16,-2.09,-7.97
"581",63610,117074,827,"2000","2000_Pres-G_ME","ME","Pres-G","Pres-G","RRp-POR",277,2000-10-22,1548,"Al Gore","DEM",39,"George W. Bush","REP",43,NA,-4,2000-11-07,49.09,43.97,5.11,9.11,-9.11,0,"","","Rasmussen Reports-Pulse Opinion Research",16,-10.09,-0.969999999999999
"582",6427,7895,827,"2000","2000_Pres-G_ME","ME","Pres-G","Pres-G","StrtgcS",319,2000-10-22,400,"Al Gore","DEM",42,"George W. Bush","REP",34,NA,8,2000-11-07,49.09,43.97,5.11,2.89,2.89,1,"","","Strategic Services",16,-7.09,-9.97
"583",6425,7893,828,"2000","2000_Pres-G_MI","MI","Pres-G","Pres-G","AmrcnRG",9,2000-10-22,600,"Al Gore","DEM",46,"George W. Bush","REP",43,NA,3,2000-11-07,51.28,46.14,5.13,2.13,-2.13,1,"","","American Research Group",16,-5.28,-3.14
"584",54500,117058,836,"2000","2000_Pres-G_NH","NH","Pres-G","Pres-G","RRp-POR",277,2000-10-22,1338,"Al Gore","DEM",38,"George W. Bush","REP",46,NA,-8,2000-11-07,46.8,48.07,-1.27,6.73,-6.73,1,"","","Rasmussen Reports-Pulse Opinion Research",16,-8.8,-2.07
"585",63611,117075,840,"2000","2000_Pres-G_NY","NY","Pres-G","Pres-G","RRp-POR",277,2000-10-22,781,"Al Gore","DEM",48,"George W. Bush","REP",37,NA,11,2000-11-07,60.22,35.22,25,14,-14,1,"","","Rasmussen Reports-Pulse Opinion Research",16,-12.22,1.78
"586",25897,7922,841,"2000","2000_Pres-G_OH","OH","Pres-G","Pres-G","UoC(OP)",346,2000-10-22,666,"Al Gore","DEM",42,"George W. Bush","REP",50,NA,-8,2000-11-07,46.46,49.97,-3.51,4.49,-4.49,1,"","","University of Cincinnati (Ohio Poll)",16,-4.46,0.0300000000000011
"587",6430,7899,843,"2000","2000_Pres-G_OR","OR","Pres-G","Pres-G","AmrcnRG",9,2000-10-22,600,"Al Gore","DEM",41,"George W. Bush","REP",45,NA,-4,2000-11-07,46.96,46.52,0.44,4.44,-4.44,0,"","","American Research Group",16,-5.96,-1.52
"588",6426,7894,844,"2000","2000_Pres-G_PA","PA","Pres-G","Pres-G","AmrcnRG",9,2000-10-22,600,"Al Gore","DEM",48,"George W. Bush","REP",43,NA,5,2000-11-07,50.6,46.43,4.17,0.83,0.83,1,"","","American Research Group",16,-2.6,-3.43
"589",6450,7919,844,"2000","2000_Pres-G_PA","PA","Pres-G","Pres-G","PblcOpS",260,2000-10-22,800,"Al Gore","DEM",43,"George W. Bush","REP",45,NA,-2,2000-11-07,50.6,46.43,4.17,6.17,-6.17,0,"for NRSC","R","Public Opinion Strategies",16,-7.6,-1.43
"590",6416,7883,845,"2000","2000_Pres-G_RI","RI","Pres-G","Pres-G","BrwnUnv",35,2000-10-22,370,"Al Gore","DEM",47,"George W. Bush","REP",29,NA,18,2000-11-07,60.99,31.91,29.08,11.08,-11.08,1,"","","Brown University",16,-13.99,-2.91
"591",63730,117326,846,"2000","2000_Pres-G_SC","SC","Pres-G","Pres-G","SrvyUSA",325,2000-10-22,500,"Al Gore","DEM",41,"George W. Bush","REP",54,NA,-13,2000-11-07,40.91,56.83,-15.93,2.93,2.93,1,"","","SurveyUSA",16,0.0900000000000034,-2.83
"592",6415,7882,855,"2000","2000_Pres-G_WV","WV","Pres-G","Pres-G","RMSRsrc",273,2000-10-22,605,"Al Gore","DEM",36,"George W. Bush","REP",46,NA,-10,2000-11-07,45.59,51.92,-6.32,3.68,-3.68,1,"","","RMS Research",16,-9.59,-5.92
"605",63527,116947,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ABCN-WP",3,2000-10-23,1037,"Al Gore","DEM",47,"George W. Bush","REP",48.5,NA,-1.5,2000-11-07,48.38,47.87,0.52,2.02,-2.02,0,"average of multiple versions or turnout models listed in poll","","ABC News-The Washington Post",15,-1.38,0.630000000000003
"606",63543,116982,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","HrrsI&A",133,2000-10-23,813,"Al Gore","DEM",43,"George W. Bush","REP",48,NA,-5,2000-11-07,48.38,47.87,0.52,5.52,-5.52,0,"","","Harris Insights & Analytics",15,-5.38,0.130000000000003
"607",6399,7867,40,"2000","2000_Pres-G_US","US","Pres-G","Pres-G","ZIn-JZA",395,2000-10-23,1200,"Al Gore","DEM",45,"George W. Bush","REP",42.5,NA,2.5,2000-11-07,48.38,47.87,0.52,1.98,1.98,1,"average of multiple versions or turnout models listed in poll","","Zogby Interactive-JZ Analytics",15,-3.38,-5.37
"608",63731,117329,811,"2000","2000_Pres-G_CO","CO","Pres-G","Pres-G","SrvyUSA",325,2000-10-23,500,"Al Gore","DEM",39,"George W. Bush","REP",52,NA,-13,2000-11-07,42.39,50.75,-8.36,4.64,-4.64,1,"","","SurveyUSA",15,-3.39,1.25
"609",54442,117302,814,"2000","2000_Pres-G_DE","DE","Pres-G","Pres-G","SrvyUSA",325,2000-10-23,500,"Al Gore","DEM",49,"George W. Bush","REP",45,NA,4,2000-11-07,54.96,41.9,13.06,9.06,-9.06,1,"","","SurveyUSA",15,-5.96,3.1
"610",6403,7879,815,"2000","2000_Pres-G_FL","FL","Pres-G","Pres-G","CBSNNYT",36,2000-10-23,514,"Al Gore","DEM",48.5,"George W. Bush","REP",45,NA,3.5,2000-11-07,48.84,48.85,-0.01,3.51,3.51,0,"average of multiple versions or turnout models listed in poll","","CBS News-The New York Times",15,-0.340000000000003,-3.85
"611",63613,117077,820,"2000","2000_Pres-G_IL","IL","Pres-G","Pres-G","RRp-POR",277,2000-10-23,880,"Al Gore","DEM",44,"George W. Bush","REP",40,NA,4,2000-11-07,54.6,42.58,12.01,8.01,-8.01,1,"","","Rasmussen Reports-Pulse Opinion Research",15,-10.6,-2.58
"612",6432,7901,820,"2000","2000_Pres-G_IL","IL","Pres-G","Pres-G","RDRInc.",287,2000-10-23,801,"Al Gore","DEM",43,"George W. Bush","REP",38,NA,5,2000-11-07,54.6,42.58,12.01,7.01,-7.01,1,"","","Richard Day Research Inc.",15,-11.6,-4.58
"613",6385,7847,828,"2000","2000_Pres-G_MI","MI","Pres-G","Pres-G","HllRsrC",140,2000-10-23,550,"Al Gore","DEM",41,"George W. Bush","REP",42,NA,-1,2000-11-07,51.28,46.14,5.13,6.13,-6.13,0,"for Michigan Chamber of Commerce","R","Hill Research Consultants",15,-10.28,-4.14
"614",54458,117078,830,"2000","2000_Pres-G_MO","MO","Pres-G","Pres-G","RRp-POR",277,2000-10-23,1072,"Al Gore","DEM",42,"George W. Bush","REP",46,NA,-4,2000-11-07,47.08,50.42,-3.34,0.66,-0.66,1,"","","Rasmussen Reports-Pulse Opinion Research",15,-5.08,-4.42
